# Wordlist

# DATA
ID	ALIGNMENT	BORROWING	COGID	COGIDS	CONCEPT	DOCULECT	FORM	ID_IN_SOURCE	NOTE	TOKENS	VALUE	SAGARTID	MORPHEMES
5385	k ə + ŋ ɐ̂/ɐ n	tib	43	7781 113	bad	NgyaltsuZbu	kə-ŋɐ̂n			k ə + ŋ ɐ̂/ɐ n	kə-ŋɐ̂n	0	_bad BAD
5595	³¹/æ w ⁵⁵/æ		60	125	bad	Zlarong	æ31wæ55			³¹/æ w ⁵⁵/æ	æ31wæ55	0	BAD
5662	m ³¹/u + l ⁵⁵/ɔ + w ³¹/u		44	7782 7779 7780	bad	Zlarong	mu31lɔ55wu31			m ³¹/u + l ⁵⁵/ɔ + w ³¹/u	mu31lɔ55wu31	0	BAD _bad _bad
5847	k ə + ŋ a n	tib	43	7781 113	bad	KyomkyoSitu	kəŋan			k ə + ŋ a n	kəŋan	0	_bad BAD
6511	qʰ ə m æ		47	114	bad	MazurStau	qʰəmæ			qʰ ə m æ	qʰəmæ		BAD
#
4	a t tʰ u		70	145	before	Bantawa	attʰu			a t tʰ u	attʰu	0	BEFORE
546	- ɯ + ʁ ɤ + r - i -		62	7649 7635 7634	before	Japhug	ɯ-ʁɤri	25819		ɯ + ʁ ɤ + r i	ɯ-ʁɤri	0	_before _before BEFORE
1188	ɕ j ¹/i		71	7670	before	Tangut	ɕji¹			ɕ j ¹/i	ɕji¹	0	BEFORE
1220	r j i ²/r		62	7634	before	Tangut	rjir²			r j i ²/r	rjir²	0	BEFORE
1482	dʑ ə́/ə ɣ		64	7642	before	WobziKhroskyabs	dʑə́ɣ			dʑ ə́/ə ɣ	dʑə́ɣ	0	BEFORE
2543	k ɛ x ²/ʌ		73	7640	before	MenyaGao	2kɛxʌ			k ɛ x ²/ʌ	2kɛxʌ	0	BEFORE
3272	ŋ g w ə		72	7639	before	QueyuPubarong	ŋgwə			ŋ g w ə	ŋgwə	0	BEFORE
3398	r - ê - + dʑ ə ɣ		62	7634 7642	before	SiyuewuKhroskyabs	rêdʑəɣ	38807		r ê + dʑ ə ɣ	rêdʑəɣ	0	BEFORE _before
3710	k â/a j		67	7641	before	BragbarSitu	kâj			k â/a j	kâj	0	BEFORE
4149	ŋ u i	tib?	68	7643	before	Geshiza	ŋui			ŋ u i	ŋui	0	BEFORE
4324	- ³³/ə + dʑ ⁵⁵/ə -		63	7649 7642	before	GuanyinqiaoKhroskyabs	ə³³dʑə⁵⁵			³³/ə + dʑ ⁵⁵/ə	ə³³dʑə⁵⁵	0	BEFORE _before
4925	s ³³/o + dʑ ⁵⁵/i -		64	7644 7642	before	NjorogsKhroskyabs	so³³dʑi⁵⁵			s ³³/o + dʑ ⁵⁵/i	so³³dʑi⁵⁵	0	_before BEFORE
5008	- cʰ e ʔ		65	7672	before	Tshobdun	cʰeʔ			cʰ e ʔ	cʰeʔ	0	BEFORE
5200	ʃ ó/o x t e		75	7645	before	Tshobdun	ʃóxte			ʃ ó/o x t e	ʃóxte	0	BEFORE
5493	ts ɐ n ɐ́/ɐ m ʔ		76	7646	before	NgyaltsuZbu	tsɐnɐ́mʔ			ts ɐ n ɐ́/ɐ m ʔ	tsɐnɐ́mʔ	0	BEFORE
5519	v ə + ʁ u + r - î -		62	7649 7635 7634	before	NgyaltsuZbu	və-ʁurî			v ə + ʁ u + r î	və-ʁurî	0	_before _before BEFORE
5724	ŋ g ⁵⁵/u + r - ³¹/ɨ -		62	7671 7634	before	Zlarong	ŋɡu55rɨ31			ŋ g ⁵⁵/u + r ³¹/ɨ	ŋɡu55rɨ31	0	_before BEFORE
5848	k ə + s c e -		65	7647 7672	before	KyomkyoSitu	kəsce			k ə + s c e	kəsce	0	_before BEFORE
5849	w a + k a j		63	7649 7641	before	KyomkyoSitu	wakaj			w a + k a j	wakaj	0	BEFORE _before
6512	ŋ ə -	tib?	68	7643	before	MazurStau	ŋə			ŋ ə	ŋə		BEFORE
#
92	h y u		92	169	below, under	Bantawa	hyu			h y u	hyu	0	BELOW,
276	n ə + n kʰ v ɛ		88	170 171	below, under	Daofu	nə nkhvɛ	19110		n ə + n kʰ v ɛ	nə nkhvɛ	10180	BELOW, _below,
547	- ɯ + p a -		78	174 179	below, under	Japhug	ɯ-pa	525		ɯ + p a	ɯ-pa	396	_below, BELOW,
921	kʰ j u		80	7907	below, under	Tangut	khju	38146		kʰ j u	khju	10180	BELOW,
1248	v i -		78	179	below, under	WobziKhroskyabs	vi	31561		v i	vi	396	BELOW,
1543	¹³/ɑ tsʰ ³³/ɿ		79	173	below, under	Zhaba	ɑ¹³tshɿ³³	21604		¹³/ɑ tsʰ ³³/ɿ	ɑ¹³tshɿ³³	2263	BELOW,
1811	w u + s p o - - i		82	174 178	below, under	MaerkangrGyalrong	wu spoi	17866		w u + s p o i	wu spoi	930	BELOW, _below,
2057	- - m ³³/ɐ̃ - tɕʰ ⁵³/ø		84	180	below, under	MuyaKangding	mɐ̃³³tɕhø⁵³	19044		m ³³/ɐ̃ tɕʰ ⁵³/ø	mɐ̃³³tɕhø⁵³	0	BELOW,
2058	n ³³/ɑ t ²⁴/o		95	187	below, under	MuyaKangding	nɑ³³to²⁴	22828		n ³³/ɑ t ²⁴/o	nɑ³³to²⁴	0	BELOW,
2509	v ¹/æ̙ -		78	179	below, under	MenyaGao	1væ̠			v ¹/æ̙	1væ̠	0	BELOW,
2628	ʔ ²/o k		91	7906	below, under	OldBurmese	ʔo₂k	31058		ʔ ²/o k	ʔo₂k	1260	BELOW,
2868	- - m ¹³/e n tɕʰ ⁵⁵/ə		84	180	below, under	QueyuXinlong	me¹³ntɕhə⁵⁵	20421		m ¹³/e n tɕʰ ⁵⁵/ə	me¹³ntɕhə⁵⁵	0	BELOW,
3231	w ə -		78	179	below, under	QueyuPubarong	wə			w ə	wə	0	BELOW,
3399	v í -		78	179	below, under	SiyuewuKhroskyabs	ví	38808		v í	ví	0	BELOW,
3711	n ō/o		88	170	below, under	BragbarSitu	nō			n ō/o	nō	0	BELOW,
3712	s p ō/o - k -		83	178	below, under	BragbarSitu	spōk			s p ō/o k	spōk	0	BELOW,
3713	a + v ?ī -		78	189 179	below, under	BragbarSitu	a-vī			a + v ī	a-vī	0	_below, BELOW,
3714	a + v ?ə̂/ə -		78	189 179	below, under	BragbarSitu	a-və̂			a + v ə̂/ə	a-və̂	0	_below, BELOW,
4068	kʰ æ - - - tɕʰ i		84	180	below, under	Geshiza	kʰætɕʰi			kʰ æ tɕʰ i	kʰætɕʰi	0	BELOW,
4266	v ə -		78	179	below, under	Geshiza	və			v ə	və	0	BELOW,
4325	³³/ə + q ⁵³/e		79	173 7905	below, under	GuanyinqiaoKhroskyabs	ə³³qe⁵³			³³/ə + q ⁵³/e	ə³³qe⁵³	0	BELOW, _below,
4326	³³/ə + cçʰ - ⁵³/u		79	173 7907	below, under	GuanyinqiaoKhroskyabs	ə³³cçʰu⁵³			³³/ə + cçʰ ⁵³/u	ə³³cçʰu⁵³	0	BELOW, _below,
4327	ɕ ⁵³/e + tʰ ⁵³/a		81	7908 7909	below, under	GuanyinqiaoKhroskyabs	ɕe⁵³tʰa⁵³			ɕ ⁵³/e + tʰ ⁵³/a	ɕe⁵³tʰa⁵³	0	BELOW, _below,
4328	j ³³/i - - - ts ⁵⁵/e + tʰ a		85	188 7909	below, under	GuanyinqiaoKhroskyabs	ji³³tse⁵⁵tʰa			j ³³/i ts ⁵⁵/e + tʰ a	ji³³tse⁵⁵tʰa	0	BELOW, _below,
4330	ɕ ⁵⁵/e + j ³³/i - l ³³/a - -		81	7908 188	below, under	GuanyinqiaoKhroskyabs	ɕe⁵⁵ji³³la³³			ɕ ⁵⁵/e + j ³³/i l ³³/a	ɕe⁵⁵ji³³la³³	0	BELOW, _below,
4687	ɕ ⁵⁵/a + j ³³/i s - - - -		81	7908 188	below, under	NjorogsKhroskyabs	ɕa⁵⁵jis³³			ɕ ⁵⁵/a + j ³³/i s	ɕa⁵⁵jis³³	0	BELOW, _below,
4708	³³/ə + cçʰ - ⁵⁵/e		79	173 7907	below, under	NjorogsKhroskyabs	ə³³cçʰe⁵⁵			³³/ə + cçʰ ⁵⁵/e	ə³³cçʰe⁵⁵	0	BELOW, _below,
5111	pʰ i -		78	179	below, under	Tshobdun	pʰi			pʰ i	pʰi	0	BELOW,
5507	v ə + v é/e ʔ		78	174 179	below, under	NgyaltsuZbu	və-véʔ			v ə + v é/e ʔ	və-véʔ	0	_below, BELOW,
5626	k ⁵³/e r ³¹/e		94	185	below, under	Zlarong	ke53re31			k ⁵³/e r ³¹/e	ke53re31	0	BELOW,
5850	t a + k a		0	7910	below, under	KyomkyoSitu	taka		!cognates	t a + k a	taka	0	
5851	t a + p a -		78	7910 179	below, under	KyomkyoSitu	tapa			t a + p a	tapa	0	_below, BELOW,
5852	t ə + s p o ʔ k -		83	7910 178	below, under	KyomkyoSitu	təspoʔk			t ə + s p o ʔ k	təspoʔk	0	_below, BELOW,
6513	v ə -		78	179	below, under	MazurStau	və			v ə	və		BELOW,
#
96	ɨ dʰ i w a ŋ		102	211	big	Bantawa	ɨdʰiwaŋ			ɨ dʰ i w a ŋ	ɨdʰiwaŋ	0	BIG
277	g ɛ + cçʰ ɛ -		97	213 228	big	Daofu	gɛ cçhɛ	19258		g ɛ + cçʰ ɛ	gɛ cçhɛ	1349	_big BIG
548	w x t i - - - - -		96	224	big	Japhug	wxti	578		w x t i	wxti	29701	BIG
922	kʰ w e j		107	7775	big	Tangut	khwej	38013		kʰ w e j	khwej	10181	BIG
1249	qʰ r ɑ́/ɑ -		98	216	big	WobziKhroskyabs	qʰrɑ́	31562		qʰ r ɑ́/ɑ	qʰrɑ́	3734	BIG
1544	- - tɕ ⁵⁵/i - - - tɕ ⁵⁵/i		96	224	big	Zhaba	tɕi⁵⁵tɕi⁵⁵	21751		tɕ ⁵⁵/i tɕ ⁵⁵/i	tɕi⁵⁵tɕi⁵⁵	29701	BIG
1812	k ə + - k t ɛ - - - - -		96	7777 224	big	MaerkangrGyalrong	kə ktᴇ	17996		k ə + k t ɛ	kə ktᴇ	29701	_big BIG
2059	k ³³/i k ⁵³/ɐ		100	220	big	MuyaKangding	ki³³kɐ⁵³	22985		k ³³/i k ⁵³/ɐ	ki³³kɐ⁵³	0	BIG
2361	k i k ¹/ʌ		100	220	big	MenyaGao	1kikʌ			k i k ¹/ʌ	1kikʌ	0	BIG
2629	k r ī/i ɦ		104	7776	big	OldBurmese	krīḥ	31059		k r ī/i ɦ	krīḥ	909	BIG
2869	q ⁵⁵/o r ʒ ¹³/i		105	223	big	QueyuXinlong	qo⁵⁵rʒi¹³	20582		q ⁵⁵/o r ʒ ¹³/i	qo⁵⁵rʒi¹³	0	BIG
3273	n dʑ ũ		106	222	big	QueyuPubarong	ndʑũ			n dʑ ũ	ndʑũ	0	BIG
3400	qʰ r ɑ́/ɑ -		98	216	big	SiyuewuKhroskyabs	qʰrɑ́	38809		qʰ r ɑ́/ɑ	qʰrɑ́	0	BIG
