# Wordlist

# DATA
ID	ALIGNMENT	BORROWING	COGID	COGIDS	CONCEPT	DOCULECT	FORM	ID_IN_SOURCE	MORPHEMES	NOTE	TOKENS	VALUE	GLOSSES
4821	ŋ ⁵⁵/ə - - -		320	2	I [first person singular]	NjorogsKhroskyabs	ŋə⁵⁵				ŋ ⁵⁵/ə	ŋə⁵⁵	I
4822	ŋ ⁵⁵/o - - -		320	2	I [first person singular]	NjorogsKhroskyabs	ŋo⁵⁵				ŋ ⁵⁵/o	ŋo⁵⁵	I
5003	ɐ - ɟ i ʔ		320	2	I [first person singular]	Tshobdun	ɐɟiʔ				ɐ ɟ i ʔ	ɐɟiʔ	I
5429	ŋ ɐ́/ɐ ʔ - -		320	2	I [first person singular]	NgyaltsuZbu	ŋɐ́ʔ				ŋ ɐ́/ɐ ʔ	ŋɐ́ʔ	I
5726	ŋ ⁵⁵/o - - -		320	2	I [first person singular]	Zlarong	ŋo55				ŋ ⁵⁵/o	ŋo55	I
5881	ŋ a - - -		320	2	I [first person singular]	KyomkyoSitu	ŋa				ŋ a	ŋa	I
6540	ŋ æ - - -		320	2	I [first person singular]	MazurStau	ŋæ				ŋ æ	ŋæ	I
#
33	cʰ o ŋ		9	26	above	Bantawa	cʰoN				cʰ o ŋ	cʰoN	ABOVE
272	r ə + n kʰ v ɛ		5	28 29	above	Daofu	rə nkhvɛ	19109			r ə + n kʰ v ɛ	rə nkhvɛ	_above ABOVE
542	- ɯ + t a ʁ		1	45 33	above	Japhug	ɯ-taʁ	48			ɯ + t a ʁ	ɯ-taʁ	_above ABOVE
916	tɕʰ j aː		6	30	above	Tangut	tɕhjaa	38141			tɕʰ j aː	tɕhjaa	ABOVE
1245	tʰ ɑ -		1	33	above	WobziKhroskyabs	tʰɑ	31552			tʰ ɑ	tʰɑ	ABOVE
1540	- ¹³/ʌ + tʂʰ ³³/ɿ		2	45 7899	above	Zhaba	ʌ¹³tʂhɿ³³	21603			¹³/ʌ + tʂʰ ³³/ɿ	ʌ¹³tʂhɿ³³	ABOVE _above
1808	w u + p r ɐ i		2	45 36	above	MaerkangrGyalrong	wu prɐi	21766			w u + p r ɐ i	wu prɐi	ABOVE _above
2053	j ³³/ɐ̃ - tɕʰ - ⁵³/ø		3	38	above	MuyaKangding	jɐ̃³³tɕhø⁵³	22825			j ³³/ɐ̃ tɕʰ ⁵³/ø	jɐ̃³³tɕhø⁵³	ABOVE
2054	t ³³/ə + t ²⁴/o -		1	7922 33	above	MuyaKangding	tə³³to²⁴	22826			t ³³/ə + t ²⁴/o	tə³³to²⁴	_above ABOVE
2432	p ¹/u		12	37	above	MenyaGao	1pu				p ¹/u	1pu	ABOVE
2625	ʔ a + tʰ a k		1	41 33	above	OldBurmese	ʔa◦thak	31055			ʔ a + tʰ a k	ʔa◦thak	_above ABOVE
2865	j ¹³/e n tɕʰ - ⁵⁵/ə		3	38	above	QueyuXinlong	je¹³ntɕhə⁵⁵	20420			j ¹³/e n tɕʰ ⁵⁵/ə	je¹³ntɕhə⁵⁵	ABOVE
3145	- kʰ - ō/o		5	29	above	QueyuPubarong	kʰō				kʰ ō/o	kʰō	ABOVE
3389	tʰ ɑ -		1	33	above	SiyuewuKhroskyabs	tʰɑ	38797			tʰ ɑ	tʰɑ	ABOVE
3704	r k i ɛ̂/ɛ		4	27	above	BragbarSitu	rkiɛ̂				r k i ɛ̂/ɛ	rkiɛ̂	ABOVE
3705	t a - + t ō/o -		1	31 33	above	BragbarSitu	ta-tō				t a + t ō/o	ta-tō	_above ABOVE
3706	- a + t i ɛ̄/ɛ		1	45 33	above	BragbarSitu	a-tiɛ̄				a + t i ɛ̄/ɛ	a-tiɛ̄	_above ABOVE
4230	tɕʰ - a		6	30	above	Geshiza	tɕʰa				tɕʰ a	tɕʰa	ABOVE
4313	tʰ ⁵³/a -		1	33	above	GuanyinqiaoKhroskyabs	tʰa⁵³				tʰ ⁵³/a	tʰa⁵³	ABOVE
4316	r ⁵⁵/u - + tʰ ³³/a -		1	53 33	above	GuanyinqiaoKhroskyabs	ru⁵⁵tʰa³³				r ⁵⁵/u + tʰ ³³/a	ru⁵⁵tʰa³³	_above ABOVE
4712	- ³³/ə + r u ⁵⁵/s		2	45 53	above	NjorogsKhroskyabs	ə³³rus⁵⁵				³³/ə + r u ⁵⁵/s	ə³³rus⁵⁵	ABOVE _above
4713	- ³³/ə + tʰ ⁵³/a -		1	45 33	above	NjorogsKhroskyabs	ə³³tʰa⁵³				³³/ə + tʰ ⁵³/a	ə³³tʰa⁵³	_above ABOVE
5196	ʃ ə́/ə + t a -		1	7706 33	above	Tshobdun	ʃə́ta				ʃ ə́/ə + t a	ʃə́ta	_above ABOVE
5506	v ə + t ɐ̂/ɐ ʁ		1	45 33	above	NgyaltsuZbu	və-tɐ̂ʁ				v ə + t ɐ̂/ɐ ʁ	və-tɐ̂ʁ	_above ABOVE
5831	w ⁵⁵/ɔ + t ⁵⁵/i -		1	7705 33	above	Zlarong	wɔ55ti55				w ⁵⁵/ɔ + t ⁵⁵/i	wɔ55ti55	_above ABOVE
5844	t ə + r k - a		4	31 27	above	KyomkyoSitu	tərka				t ə + r k a	tərka	_above ABOVE
6508	- - - tɕʰ j æ		3	38	above	MazurStau	tɕʰjæ				tɕʰ j æ	tɕʰjæ	ABOVE
#
105	j a m m æ y		25	66	all	Bantawa	jamm@y				j a m m æ y	jamm@y	ALL
273	- tʰ ə m - - - - tɕ ɛ -	tib	2551	72	all	Daofu	thəm tɕɛ	19256	_72		tʰ ə m tɕ ɛ	thəm tɕɛ	ALL
543	- tʰ a m - - - - tɕ ɤ t	tib	2596	72	all	Japhug	tʰamtɕɤt	101	_72		tʰ a m tɕ ɤ t	tʰamtɕɤt	ALL
544	l o n b a	tib	2597	87	all	Japhug	lonba	25848	_87		l o n b a	lonba	ALL
918	z j ¹/i		33	77	all	Tangut	zji¹	105			z j ¹/i	zji¹	ALL
919	r j u r		38	94	all	Tangut	rjur	38196			r j u r	rjur	ALL
1246	p â/a -		19	76	all	WobziKhroskyabs	pâ	31553			p â/a	pâ	ALL
1541	j ³³/o dz ⁵⁵/o		35	84	all	Zhaba	jo³³dzo⁵⁵	21749			j ³³/o dz ⁵⁵/o	jo³³dzo⁵⁵	ALL
1809	k ə + - - - - - - - - tʃ ɛ t	tib?	2709	73 72	all	MaerkangrGyalrong	kə tʃᴇt	17994	73 _72		k ə + tʃ ɛ t	kə tʃᴇt	_all ALL
2055	m ³³/e - m ⁵⁵/e		21	74	all	MuyaKangding	me³³me⁵⁵	21476			m ³³/e m ⁵⁵/e	me³³me⁵⁵	ALL
2553	m e - m ²/e		21	74	all	MenyaGao	2meme				m e m ²/e	2meme	ALL
2626	ʔ - a + k u n		30	7784 78	all	OldBurmese	ʔa◦kun	31056			ʔ a + k u n	ʔa◦kun	ALL _all
2866	t ⁵⁵/ə - - - ɬ y ⁵⁵/e		23	80	all	QueyuXinlong	tə⁵⁵ɬye⁵⁵	20581			t ⁵⁵/ə ɬ y ⁵⁵/e	tə⁵⁵ɬye⁵⁵	ALL
3270	- - tɕ j ā/a l - æ		23	80	all	QueyuPubarong	tɕjālæ				tɕ j ā/a l æ	tɕjālæ	ALL
3390	tsʰ ô/o ŋ m u	tib	2885	81	all	SiyuewuKhroskyabs	tsʰôŋmu	38798	_81		tsʰ ô/o ŋ m u	tsʰôŋmu	ALL
3391	- tʰ æ̂/æ m - - - - tɕʰ æ d	tib	2886	72	all	SiyuewuKhroskyabs	tʰæ̂mtɕʰæd	38799	_72		tʰ æ̂/æ m tɕʰ æ d	tʰæ̂mtɕʰæd	ALL
3392	ɕ æ r ɕ æ̂/æ r		40	93	all	SiyuewuKhroskyabs	ɕærɕæ̂r	38800			ɕ æ r ɕ æ̂/æ r	ɕærɕæ̂r	ALL
3393	f tɕ ɑ m ɑ̂	tib	2887	96	all	SiyuewuKhroskyabs	ftɕɑmɑ̂	38801	_96		f tɕ ɑ m ɑ̂	ftɕɑmɑ̂	ALL
3394	- t æ̂/æ r - -		20	91	all	SiyuewuKhroskyabs	tæ̂r	38802			t æ̂/æ r	tæ̂r	ALL
3395	m æ̂/æ d - -		21	74	all	SiyuewuKhroskyabs	mæ̂d	38803			m æ̂/æ d	mæ̂d	ALL
3396	r l æ̂/æ ʁ		42	99	all	SiyuewuKhroskyabs	rlæ̂ʁ	38804			r l æ̂/æ ʁ	rlæ̂ʁ	ALL
3707	k ə ʑ ē/e		22	67	all	BragbarSitu	kəʑē				k ə ʑ ē/e	kəʑē	ALL
3708	s t a m - - - - tɕʰ ā/a t	tib	2923	72	all	BragbarSitu	stamtɕhāt		_72		s t a m tɕʰ ā/a t	stamtɕhāt	ALL
4019	æ q ɛ		26	70	all	Geshiza	æqɛ				æ q ɛ	æqɛ	ALL
4057	g r u		36	86	all	Geshiza	gru				g r u	gru	ALL
4224	s t æ - - -		20	91	all	Geshiza	stæ				s t æ	stæ	ALL
4234	- tʰ æ m - - - - tɕ æ -	tib	2974	72	all	Geshiza	tʰæmtɕæ		_72		tʰ æ m tɕ æ	tʰæmtɕæ	ALL
4320	- t ³³/ɛ - t ⁵⁵/ə		20	91	all	GuanyinqiaoKhroskyabs	tɛ³³tə⁵⁵				t ³³/ɛ t ⁵⁵/ə	tɛ³³tə⁵⁵	ALL
4321	p ⁵³/ɑ -		19	76	all	GuanyinqiaoKhroskyabs	pɑ⁵³				p ⁵³/ɑ	pɑ⁵³	ALL
4322	x cçʰ ³³/ə f cçʰ ⁵³/ə		39	92	all	GuanyinqiaoKhroskyabs	xcçʰə³³fcçʰə⁵³				x cçʰ ³³/ə f cçʰ ⁵³/ə	xcçʰə³³fcçʰə⁵³	ALL
4675	b ⁵⁵/o q		19	76	all	NjorogsKhroskyabs	boq⁵⁵				b ⁵⁵/o q	boq⁵⁵	ALL
4956	v d ³³/e - v d ⁵³/e		24	89	all	NjorogsKhroskyabs	vde³³vde⁵³				v d ³³/e v d ⁵³/e	vde³³vde⁵³	ALL
5053	m ɐ́/ɐ l ɐ j		34	82	all	Tshobdun	mɐ́lɐj				m ɐ́/ɐ l ɐ j	mɐ́lɐj	ALL
5055	m d i ʔ - - -		24	89	all	Tshobdun	mdiʔ				m d i ʔ	mdiʔ	ALL
5220	- tʰ ɐ m - - - - tʃ e t	tib	3069	72	all	Tshobdun	tʰɐmtʃet		_72		tʰ ɐ m tʃ e t	tʰɐmtʃet	ALL
5442	r w o ʁ r w ó/o ʁ ʔ		29	75	all	NgyaltsuZbu	rwoʁrwóʁʔ				r w o ʁ r w ó/o ʁ ʔ	rwoʁrwóʁʔ	ALL
5491	- tʰ ɐ m ɐ r ɐ m tɕ é/e t +	tib?	3092	72	all	NgyaltsuZbu	thɐmɐrɐmtɕét		_72		tʰ ɐ m ɐ r ɐ m tɕ é/e t +	thɐmɐrɐmtɕét	ALL
5845	k ə ʒ u		22	67	all	KyomkyoSitu	kəʒu				k ə ʒ u	kəʒu	ALL
5846	p o k		19	76	all	KyomkyoSitu	pok				p o k	pok	ALL
6509			28	7930	all	MazurStau	χsəmbə				χ s ə m b ə	χsəmbə	ALL
#
102	ɨ m a + ɨ s a		48	111 112	bad	Bantawa	ɨma (ɨsa)				ɨ m a + ɨ s a	ɨma (ɨsa)	BAD _bad
104	ɨ s s a w a		60	126	bad	Bantawa	ɨssawa				ɨ s s a w a	ɨssawa	BAD
545	ŋ ɤ n	tib	2598	113	bad	Japhug	ŋɤn	313	_113		ŋ ɤ n	ŋɤn	BAD
920	n i o w		56	123	bad	Tangut	niow	38078			n i o w	niow	BAD
1247	m ə + tsʰ â/a		44	7782 121	bad	WobziKhroskyabs	mə-tsʰâ	31556			m ə + tsʰ â/a	mə-tsʰâ	BAD _bad
1542	ʂ ʈʂ ⁵⁵/u ʈʂ ³³/u		58	124	bad	Zhaba	ʂtʂu⁵⁵tʂu³³	21824			ʂ ʈʂ ⁵⁵/u ʈʂ ³³/u	ʂtʂu⁵⁵tʂu³³	BAD
1810	m ɑ + k ə + s n ɑ		44	7782 7781 116	bad	MaerkangrGyalrong	mɑ kə snɑ	18052			m ɑ + k ə + s n ɑ	mɑ kə snɑ	BAD _bad _bad
2056	tsʰ ⁵⁵/o β ⁵³/ə		52	118	bad	MuyaKangding	tsho⁵⁵βə⁵³	22519			tsʰ ⁵⁵/o β ⁵³/ə	tsho⁵⁵βə⁵³	BAD
2347	k æ̙ tɕʰ ¹/æ̙		51	117	bad	MenyaGao	1kæ̠tɕhæ̠				k æ̙ tɕʰ ¹/æ̙	1kæ̠tɕhæ̠	BAD
2627	cʰ u i w ɦ		53	120	bad	OldBurmese	chuiwḥ	31057			cʰ u i w ɦ	chuiwḥ	BAD
2867	q ⁵⁵/a s ts u ⁵⁵/e		55	122	bad	QueyuXinlong	qa⁵⁵stsue⁵⁵	20650			q ⁵⁵/a s ts u ⁵⁵/e	qa⁵⁵stsue⁵⁵	BAD
3271	m æ + tɕʰ i		44	7782 7783	bad	QueyuPubarong	mæ-tɕʰi				m æ + tɕʰ i	mæ-tɕʰi	BAD _bad
3397	ŋ ə̂/ə n	tib	2888	113	bad	SiyuewuKhroskyabs	ŋə̂n	38806	_113		ŋ ə̂/ə n	ŋə̂n	BAD
3709	ŋ â/a n	tib	2924	113	bad	BragbarSitu	ŋân		_113		ŋ â/a n	ŋân	BAD
4160	qʰ i - -		46	114	bad	Geshiza	qʰi				qʰ i	qʰi	BAD
4323	ŋ ⁵³/ə n	tib	2980	113	bad	GuanyinqiaoKhroskyabs	ŋən⁵³		_113		ŋ ⁵³/ə n	ŋən⁵³	BAD
4761	m ³³/a + l ⁵⁵/a		44	7782 7779	bad	NjorogsKhroskyabs	ma³³la⁵⁵				m ³³/a + l ⁵⁵/a	ma³³la⁵⁵	BAD _bad
5100	ŋ ɐ n	tib	3052	113	bad	Tshobdun	ŋɐn		_113		ŋ ɐ n	ŋɐn	BAD
5385	k ə + ŋ ɐ̂/ɐ n	tib	3082	7781 113	bad	NgyaltsuZbu	kə-ŋɐ̂n		7781 _113		k ə + ŋ ɐ̂/ɐ n	kə-ŋɐ̂n	_bad BAD
5595	³¹/æ w ⁵⁵/æ		59	125	bad	Zlarong	æ31wæ55				³¹/æ w ⁵⁵/æ	æ31wæ55	BAD
5662	m ³¹/u + l ⁵⁵/ɔ + w ³¹/u		44	7782 7779 7780	bad	Zlarong	mu31lɔ55wu31				m ³¹/u + l ⁵⁵/ɔ + w ³¹/u	mu31lɔ55wu31	BAD _bad _bad
5847	k ə + ŋ a n	tib	3166	7781 113	bad	KyomkyoSitu	kəŋan		7781 _113		k ə + ŋ a n	kəŋan	_bad BAD
6511	qʰ ə m æ		46	114	bad	MazurStau	qʰəmæ				qʰ ə m æ	qʰəmæ	BAD
#
4	a t tʰ u		69	145	before	Bantawa	attʰu				a t tʰ u	attʰu	BEFORE
546	- ɯ + ʁ ɤ + r - i -		62	7649 7635 7634	before	Japhug	ɯ-ʁɤri	25819			ɯ + ʁ ɤ + r i	ɯ-ʁɤri	_before _before BEFORE
1188	ɕ j ¹/i		75	7670	before	Tangut	ɕji¹				ɕ j ¹/i	ɕji¹	BEFORE
1220	r j i ²/r		62	7634	before	Tangut	rjir²				r j i ²/r	rjir²	BEFORE
1482	dʑ ə́/ə ɣ		64	7642	before	WobziKhroskyabs	dʑə́ɣ				dʑ ə́/ə ɣ	dʑə́ɣ	BEFORE
2543	k ɛ x ²/ʌ		71	7640	before	MenyaGao	2kɛxʌ				k ɛ x ²/ʌ	2kɛxʌ	BEFORE
3272	ŋ g w ə		74	7639	before	QueyuPubarong	ŋgwə				ŋ g w ə	ŋgwə	BEFORE
3398	r - ê - + dʑ ə ɣ		62	7634 7642	before	SiyuewuKhroskyabs	rêdʑəɣ	38807			r ê + dʑ ə ɣ	rêdʑəɣ	BEFORE _before
3710	k â/a j		65	7641	before	BragbarSitu	kâj				k â/a j	kâj	BEFORE
4149	ŋ u i	tib?	2964	7643	before	Geshiza	ŋui		_7643		ŋ u i	ŋui	BEFORE
4324	- ³³/ə + dʑ ⁵⁵/ə -		63	7649 7642	before	GuanyinqiaoKhroskyabs	ə³³dʑə⁵⁵				³³/ə + dʑ ⁵⁵/ə	ə³³dʑə⁵⁵	BEFORE _before
4925	s ³³/o + dʑ ⁵⁵/i -		64	7644 7642	before	NjorogsKhroskyabs	so³³dʑi⁵⁵				s ³³/o + dʑ ⁵⁵/i	so³³dʑi⁵⁵	_before BEFORE
5008	- cʰ e ʔ		68	7672	before	Tshobdun	cʰeʔ				cʰ e ʔ	cʰeʔ	BEFORE
5200	ʃ ó/o x t e		77	7645	before	Tshobdun	ʃóxte				ʃ ó/o x t e	ʃóxte	BEFORE
5493	ts ɐ n ɐ́/ɐ m ʔ		72	7646	before	NgyaltsuZbu	tsɐnɐ́mʔ				ts ɐ n ɐ́/ɐ m ʔ	tsɐnɐ́mʔ	BEFORE
5519	v ə + ʁ u + r - î -		62	7649 7635 7634	before	NgyaltsuZbu	və-ʁurî				v ə + ʁ u + r î	və-ʁurî	_before _before BEFORE
5724	ŋ g ⁵⁵/u + r - ³¹/ɨ -		62	7671 7634	before	Zlarong	ŋɡu55rɨ31				ŋ g ⁵⁵/u + r ³¹/ɨ	ŋɡu55rɨ31	_before BEFORE
5848	k ə + s c e -		68	7647 7672	before	KyomkyoSitu	kəsce				k ə + s c e	kəsce	_before BEFORE
5849	w a + k a j		63	7649 7641	before	KyomkyoSitu	wakaj				w a + k a j	wakaj	BEFORE _before
6512	ŋ ə -	tib?	3203	7643	before	MazurStau	ŋə		_7643		ŋ ə	ŋə	BEFORE
#
92	h y u		90	169	below, under	Bantawa	hyu				h y u	hyu	BELOW
276	n ə + n kʰ v ɛ		86	170 171	below, under	Daofu	nə nkhvɛ	19110			n ə + n kʰ v ɛ	nə nkhvɛ	BELOW _below
547	- ɯ + p a -		78	174 179	below, under	Japhug	ɯ-pa	525			ɯ + p a	ɯ-pa	_below BELOW
921	kʰ j u		85	7907	below, under	Tangut	khju	38146			kʰ j u	khju	BELOW
1248	v i -		78	179	below, under	WobziKhroskyabs	vi	31561			v i	vi	BELOW
1543	¹³/ɑ tsʰ ³³/ɿ		79	173	below, under	Zhaba	ɑ¹³tshɿ³³	21604			¹³/ɑ tsʰ ³³/ɿ	ɑ¹³tshɿ³³	BELOW
1811	w u + s p o - - i		81	174 178	below, under	MaerkangrGyalrong	wu spoi	17866			w u + s p o i	wu spoi	BELOW _below
2057	- - m ³³/ɐ̃ - tɕʰ ⁵³/ø		80	180	below, under	MuyaKangding	mɐ̃³³tɕhø⁵³	19044			m ³³/ɐ̃ tɕʰ ⁵³/ø	mɐ̃³³tɕhø⁵³	BELOW
2058	n ³³/ɑ t ²⁴/o		95	187	below, under	MuyaKangding	nɑ³³to²⁴	22828			n ³³/ɑ t ²⁴/o	nɑ³³to²⁴	BELOW
2509	v ¹/æ̙ -		78	179	below, under	MenyaGao	1væ̠				v ¹/æ̙	1væ̠	BELOW
2628	ʔ ²/o k		93	7906	below, under	OldBurmese	ʔo₂k	31058			ʔ ²/o k	ʔo₂k	BELOW
2868	- - m ¹³/e n tɕʰ ⁵⁵/ə		80	180	below, under	QueyuXinlong	me¹³ntɕhə⁵⁵	20421			m ¹³/e n tɕʰ ⁵⁵/ə	me¹³ntɕhə⁵⁵	BELOW
3231	w ə -		78	179	below, under	QueyuPubarong	wə				w ə	wə	BELOW
3399	v í -		78	179	below, under	SiyuewuKhroskyabs	ví	38808			v í	ví	BELOW
3711	n ō/o		86	170	below, under	BragbarSitu	nō				n ō/o	nō	BELOW
3712	s p ō/o - k -		82	178	below, under	BragbarSitu	spōk				s p ō/o k	spōk	BELOW
3713	a + v ?ī -		78	189 179	below, under	BragbarSitu	a-vī				a + v ī	a-vī	_below BELOW
3714	a + v ?ə̂/ə -		78	189 179	below, under	BragbarSitu	a-və̂				a + v ə̂/ə	a-və̂	_below BELOW
4068	kʰ æ - - - tɕʰ i		80	180	below, under	Geshiza	kʰætɕʰi				kʰ æ tɕʰ i	kʰætɕʰi	BELOW
4266	v ə -		78	179	below, under	Geshiza	və				v ə	və	BELOW
4325	³³/ə + q ⁵³/e		79	173 7905	below, under	GuanyinqiaoKhroskyabs	ə³³qe⁵³				³³/ə + q ⁵³/e	ə³³qe⁵³	BELOW _below
4326	³³/ə + cçʰ - ⁵³/u		79	173 7907	below, under	GuanyinqiaoKhroskyabs	ə³³cçʰu⁵³				³³/ə + cçʰ ⁵³/u	ə³³cçʰu⁵³	BELOW _below
4327	ɕ ⁵³/e + tʰ ⁵³/a		83	7908 7909	below, under	GuanyinqiaoKhroskyabs	ɕe⁵³tʰa⁵³				ɕ ⁵³/e + tʰ ⁵³/a	ɕe⁵³tʰa⁵³	BELOW _below
4328	j ³³/i - - - ts ⁵⁵/e + tʰ a		84	188 7909	below, under	GuanyinqiaoKhroskyabs	ji³³tse⁵⁵tʰa				j ³³/i ts ⁵⁵/e + tʰ a	ji³³tse⁵⁵tʰa	BELOW _below
4330	ɕ ⁵⁵/e + j ³³/i - l ³³/a - -		83	7908 188	below, under	GuanyinqiaoKhroskyabs	ɕe⁵⁵ji³³la³³				ɕ ⁵⁵/e + j ³³/i l ³³/a	ɕe⁵⁵ji³³la³³	BELOW _below
4687	ɕ ⁵⁵/a + j ³³/i s - - - -		83	7908 188	below, under	NjorogsKhroskyabs	ɕa⁵⁵jis³³				ɕ ⁵⁵/a + j ³³/i s	ɕa⁵⁵jis³³	BELOW _below
4708	³³/ə + cçʰ - ⁵⁵/e		79	173 7907	below, under	NjorogsKhroskyabs	ə³³cçʰe⁵⁵				³³/ə + cçʰ ⁵⁵/e	ə³³cçʰe⁵⁵	BELOW _below
5111	pʰ i -		78	179	below, under	Tshobdun	pʰi				pʰ i	pʰi	BELOW
5507	v ə + v é/e ʔ		78	174 179	below, under	NgyaltsuZbu	və-véʔ				v ə + v é/e ʔ	və-véʔ	_below BELOW
5626	k ⁵³/e r ³¹/e		94	185	below, under	Zlarong	ke53re31				k ⁵³/e r ³¹/e	ke53re31	BELOW
5851	t a + p a -		78	7910 179	below, under	KyomkyoSitu	tapa				t a + p a	tapa	_below BELOW
5852	t ə + s p o ʔ k -		82	7910 178	below, under	KyomkyoSitu	təspoʔk				t ə + s p o ʔ k	təspoʔk	_below BELOW
6513	v ə -		78	179	below, under	MazurStau	və				v ə	və	BELOW
#
96	ɨ dʰ i w a ŋ		101	211	big	Bantawa	ɨdʰiwaŋ				ɨ dʰ i w a ŋ	ɨdʰiwaŋ	BIG
277	g ɛ + cçʰ ɛ -		97	213 228	big	Daofu	gɛ cçhɛ	19258			g ɛ + cçʰ ɛ	gɛ cçhɛ	_big BIG
548	w x t i - - - - -		96	224	big	Japhug	wxti	578			w x t i	wxti	BIG
922	kʰ w e j		106	7775	big	Tangut	khwej	38013			kʰ w e j	khwej	BIG
1249	qʰ r ɑ́/ɑ -		98	216	big	WobziKhroskyabs	qʰrɑ́	31562			qʰ r ɑ́/ɑ	qʰrɑ́	BIG
1544	- - tɕ ⁵⁵/i - - - tɕ ⁵⁵/i		96	224	big	Zhaba	tɕi⁵⁵tɕi⁵⁵	21751			tɕ ⁵⁵/i tɕ ⁵⁵/i	tɕi⁵⁵tɕi⁵⁵	BIG
1812	k ə + - k t ɛ - - - - -		96	7777 224	big	MaerkangrGyalrong	kə ktᴇ	17996			k ə + k t ɛ	kə ktᴇ	_big BIG
2059	k ³³/i k ⁵³/ɐ		100	220	big	MuyaKangding	ki³³kɐ⁵³	22985			k ³³/i k ⁵³/ɐ	ki³³kɐ⁵³	BIG
2361	k i k ¹/ʌ		100	220	big	MenyaGao	1kikʌ				k i k ¹/ʌ	1kikʌ	BIG
2629	k r ī/i ɦ		103	7776	big	OldBurmese	krīḥ	31059			k r ī/i ɦ	krīḥ	BIG
2869	q ⁵⁵/o r ʒ ¹³/i		105	223	big	QueyuXinlong	qo⁵⁵rʒi¹³	20582			q ⁵⁵/o r ʒ ¹³/i	qo⁵⁵rʒi¹³	BIG
3273	n dʑ ũ		104	222	big	QueyuPubarong	ndʑũ				n dʑ ũ	ndʑũ	BIG
3400	qʰ r ɑ́/ɑ -		98	216	big	SiyuewuKhroskyabs	qʰrɑ́	38809			qʰ r ɑ́/ɑ	qʰrɑ́	BIG
3401	cʰ æ̂/æ d		97	228	big	SiyuewuKhroskyabs	cʰæ̂d	38810			cʰ æ̂/æ d	cʰæ̂d	BIG
3715	- - t ī - - - - -		96	224	big	BragbarSitu	tī				t ī	tī	BIG
3716	u + - k t ə̂/ə - - - - -		96	227 224	big	BragbarSitu	u-ktə̂				u + k t ə̂/ə	u-ktə̂	_big BIG
4231	tɕʰ æ -		97	228	big	Geshiza	tɕʰæ				tɕʰ æ	tɕʰæ	BIG
4331	qʰ r ⁵⁵/a -		98	216	big	GuanyinqiaoKhroskyabs	qʰra⁵⁵				qʰ r ⁵⁵/a	qʰra⁵⁵	BIG
4332	cçʰ ⁵³/ɛ -		97	228	big	GuanyinqiaoKhroskyabs	cçʰɛ⁵³				cçʰ ⁵³/ɛ	cçʰɛ⁵³	BIG
4838	qʰ r ⁵⁵/a ʔ		98	216	big	NjorogsKhroskyabs	qʰraʔ⁵⁵				qʰ r ⁵⁵/a ʔ	qʰraʔ⁵⁵	BIG
