ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	COGID	ALIGNMENT	BORROWING	ID_IN_SOURCE	NOTE
34	Bantawa	the bird	cʰoŋwa	cʰoŋwa	cʰ o ŋ w a		2022	0	cʰ o ŋ w a			
35	Bantawa	dry	cʰopma (cʰoa)	cʰopma (cʰoa)	cʰ o p m a + cʰ o a		380 381	0	cʰ o p m a + cʰ o a			
36	Bantawa	the hand	cʰuk	cʰuk	cʰ u k		2962	0	cʰ u k			
37	Bantawa	five	cʰuk-ka	cʰuk-ka	cʰ u k + k a	 _-:suffix/ka	532 533	0	cʰ u k + k a			
38	Bantawa	to tie (together)	cʰumma (cʰumsu)	cʰumma (cʰumsu)	cʰ u m m a + cʰ u m s u		7077 7078	0	cʰ u m m a + cʰ u m s u			
39	Bantawa	small	citko	citko	c i t k o		1663	0	c i t k o			
40	Bantawa	the ant	cɨkɨyaŋ	cɨkɨyaŋ	c ɨ k ɨ y a ŋ		1846	0	c ɨ k ɨ y a ŋ			
41	Bantawa	the mouse or rat	cɨkyɨ	cɨkyɨ	c ɨ k y ɨ		7711	0	c ɨ k y ɨ			
42	Bantawa	many	cɨlok	cɨlok	c ɨ l o k		1034	0	c ɨ l o k			
43	Bantawa	the mountain	comcuri	comcuri	c o m c u r i		3582	0	c o m c u r i			
44	Bantawa	to see	copma	copma	c o p m a		6628	0	c o p m a			
45	Bantawa	the snow	cuncurukwa	cuncurukwa	c u n c u r u kʷ a		4452	0	c u n c u r u kʷ a			
46	Bantawa	the heart	cuwa	cuwa	c u w a		3018	0	c u w a			
47	Bantawa	the knife	dabi	dabi	d a b i		3264	0	d a b i			
48	Bantawa	the bark	damca	damca	d a m c a		1957	0	d a m c a			
49	Bantawa	how	detni	detni	d e t n i		851	0	d e t n i			
50	Bantawa	to hit	dʰatma (dʰattu)	dʰatma (dʰattu)	dʱ a t m a + dʰ a t t u		6056 6057	0	dʱ a t m a + dʰ a t t u			
51	Bantawa	the back	dʰeŋ	dʰeŋ	dʱ e ŋ		1916	0	dʱ e ŋ			
52	Bantawa	to cut	dʰetma (dʰeru)	dʰetma (dʰeru)	dʱ e t m a + dʰ e r u		5601 5602	0	dʱ e t m a + dʰ e r u			
53	Bantawa	the thigh	dʰilaŋ	dʰilaŋ	dʱ i l a ŋ		4678	0	dʱ i l a ŋ			
54	Bantawa	the tiger	dʰinara	dʰinara	dʱ i n a r a		4731	0	dʱ i n a r a			
55	Bantawa	to dig	dʰokma (dʰoktu)	dʰokma (dʰoktu)	dʱ o k m a + dʰ o k t u		5680 5681	0	dʱ o k m a + dʰ o k t u			
56	Bantawa	to stab	dʰupma (dʰuu)	dʰupma (dʰuu)	dʱ u p m a + dʰ uː		6905 6906	0	dʱ u p m a + - dʰ - uː			
57	Bantawa	the roof	dʰuri	dʰuri	dʱ u r i		4068	0	dʱ u r i			
58	Bantawa	what	di	di	d i		7413	0	- d - i -			
59	Bantawa	the egg	din	din	d i n		2417	0	d i n			
60	Bantawa	to lie down	dɨma (dɨsu)	dɨma (dɨsu)	d ɨ m a + d ɨ s u		6319 6320	0	d ɨ m a + d ɨ s u			
61	Bantawa	to knead	dɨpma	dɨpma	d ɨ p m a		6171	0	d ɨ p m a			
62	Bantawa	the mouth	do	do	d o		3633	0	d o			
63	Bantawa	the year	doŋ	doŋ	d o ŋ		5079	0	d o ŋ			
64	Bantawa	the lip (the lips)	dosiwa	dosiwa	d o s i w a		3356	0	d o s i w a			
65	Bantawa	the breast (female)	duda	duda	d u d a		2154	0	d u d a			
66	Bantawa	to drink	duŋma (duŋu)	duŋma (duŋu)	d u ŋ m a + d u ŋ u		5708 5709	0	d u ŋ m a + d u ŋ u			
67	Bantawa	the son	duwacʰa	duwacʰa	d u w a cʰ a		4479	0	d u w a cʰ a -			
68	Bantawa	to hear	enma (enu)	enma (enu)	e n m a + e n u		6003 6004	0	e n m a + e n - u			
69	Bantawa	to stand	epma (ewa)	epma (ewa)	e p m a + e w a		6926 6927	0	e p m a + e w a			
70	Bantawa	heavy	gəhək	gəhək	g ə h ə k		700	0	g ə h ə k			
71	Bantawa	the grass	gʰãsa	gʰãsa	gʰ ã s a		2856	0	gʰ ã s a -			
72	Bantawa	hot	hakma (hakta)	hakma (hakta)	h a k m a + h a k t a		817 818	0	h a k m a + h a k t a			
73	Bantawa	the rope	hatdeuri	hatdeuri	h a t d e u r i		4111	0	h a t d e u r i			
74	Bantawa	the earth (soil)	henkʰamma	henkʰamma	h e n kʰ a m m a		2384	0	h e n kʰ a m m a			
75	Bantawa	to tie (together)	hetma (hettu)	hetma (hettu)	h e t m a + h e t t u		7088 7089	0	h e t m a + h e t t u			
76	Bantawa	the blood	hɨ	hɨ	h ɨ		2047	0	h ɨ			
77	Bantawa	the wind	hɨk	hɨk	h ɨ k		4912	0	h ɨ k			
78	Bantawa	to be alive	hɨŋma	hɨŋma	h ɨ ŋ m a		5237	0	h ɨ - - ŋ m a			
79	Bantawa	to burn [transitive]	hɨtma (hɨttu)	hɨtma (hɨttu)	h ɨ t m a + h ɨ t t u		5369 5370	0	h ɨ t m a + h ɨ t t u			
80	Bantawa	two	hɨwa	hɨwa	h ɨ w a		7339	0	h ɨ w a			
81	Bantawa	to open	hokma (hou)	hokma (hou)	h o k m a + h o u		6360 6361	0	h o k m a + h o u			
82	Bantawa	the skin	hokwa	hokwa	h o kʷ a		4345	0	h o kʷ a			
83	Bantawa	to burn [intransitive]	homa (hoa)	homa (hoa)	h o m a + h o a		5338 5339	0	h o m a + h o a			
84	Bantawa	to swell	homma (homa)	homma (homa)	h o m m a + h o m a		6980 6981	0	h o m m a + h o m a			
85	Bantawa	the river	hoŋku	hoŋku	h o ŋ k u		4018	0	h o ŋ k u			
86	Bantawa	wet	hopma (hoa)	hopma (hoa)	h o p m a + h o a		7387 7388	0	h o p m a + h o a			
87	Bantawa	to drink	hopma (hoptu)	hopma (hoptu)	h o p m a + h o p t u		5722 5723	0	h o p m a + h o p t u			
88	Bantawa	to turn (around)	huma (husu)	huma (husu)	h u m a + h u s u		7107 7108	0	h u m a + h u s u			
89	Bantawa	inside	hut	hut	h u t		895	0	h u - t -			
90	Bantawa	inside	hutda	hutda	h u t d a		895	0	h u t d a			
91	Bantawa	far	hyana	hyana	h y a n a		462	0	h y a n a			
92	Bantawa	below, under	hyu	hyu	h !y/j u		169	0	h y u			
93	Bantawa	to laugh	ima (iya)	ima (iya)	i m a + i y a		6219 6220	0	i m a + i y a			
94	Bantawa	to sleep	imma (imsa)	imma (imsa)	i m m a + i m s a		6753 6754	0	i m m a + i m s a			
95	Bantawa	ten	ina-nam-	ina-nam-	i n a + n a m		1800 1801	0	i n a + n a m			
96	Bantawa	big	ɨdʰiwaŋ	ɨdʰiwaŋ	ɨ dʰ i w a ŋ		211	0	ɨ dʰ i w a ŋ			
98	Bantawa	one	ɨk	ɨk	ɨ k		1288	0	ɨ k			
99	Bantawa	few	ɨkcit	ɨkcit	ɨ k c i t		488	0	ɨ k c i t			
100	Bantawa	high / tall	ɨkiwaŋ	ɨkiwaŋ	ɨ k i w a ŋ		760	0	ɨ k i w a ŋ			
101	Bantawa	long	ɨkiwaŋ	ɨkiwaŋ	ɨ k i w a ŋ		1006	0	ɨ k i w a ŋ			
102	Bantawa	bad	ɨma (ɨsa)	ɨma (ɨsa)	ɨ m a + ɨ s a		111 112	0	ɨ m a + ɨ s a			
103	Bantawa	I [first person singular]	ɨŋka	ɨŋka	ɨ ŋ k a		1	0	ɨ ŋ k a			
104	Bantawa	bad	ɨssawa	ɨssawa	ɨ s s a w a		126	0	ɨ s s a w a			
105	Bantawa	all	jamm@y	jamm@y	j a m m æ y		66	0	j a m m æ y			
106	Bantawa	high / tall	jhonma (jhonta)	jhonma (jhonta)	dzʱ o n m a + dzʱ o n t a		771 772	0	dzʱ o n m a + dzʱ o n t a			
107	Bantawa	the work	kaci	kaci	k a c i		5037	0	k a c i			
108	Bantawa	the girl	kamecʰa	kamecʰa	k a m e cʰ a		2812	0	k a m e cʰ a			
109	Bantawa	the rice plant	kaya	kaya	k a y a		4001	0	k a y a			
110	Bantawa	cold (of temperature)	keŋma (keŋa)	keŋma (keŋa)	k e ŋ m a + k e ŋ a		267 268	0	k e ŋ m a + k e ŋ a			
111	Bantawa	where	kʰada	kʰada	kʰ a d a		7439	0	kʰ a d a			
112	Bantawa	thou [second person singular]	kʰana	kʰana	kʰ a n a		5187	0	kʰ a n a			
113	Bantawa	to cry (weep)	kʰapma (kʰaptu)	kʰapma (kʰaptu)	kʰ a p m a + kʰ a p t u		5569 5570	0	kʰ a p m a + kʰ a p t u			
114	Bantawa	the house	kʰim	kʰim	kʰ i m		3132	0	kʰ i - - m			
115	Bantawa	to buy	kʰitma (kʰiru)	kʰitma (kʰiru)	kʰ i t m a + kʰ i r u		5402 5403	0	kʰ i t m a + kʰ i r u			
116	Bantawa	the horse	kʰiyɨŋma	kʰiyɨŋma	kʰ i y ɨ ŋ m a		3106	0	kʰ i y ɨ ŋ m a			
117	Bantawa	the shit	kʰɨ	kʰɨ	kʰ ɨ		4262	0	- kʰ ɨ			
118	Bantawa	to steal	kʰɨma (kʰɨsu)	kʰɨma (kʰɨsu)	kʰ ɨ m a + kʰ ɨ s u		6952 6953	0	kʰ ɨ m a + kʰ ɨ s u			
119	Bantawa	to pull	kʰɨnma	kʰɨnma	kʰ ɨ n m a		6448	0	kʰ ɨ n m a			
120	Bantawa	to freeze (intransitive)	kʰoŋma (kʰoŋtu)	kʰoŋma (kʰoŋtu)	kʰ o ŋ m a + kʰ o ŋ t u		5937 5938	0	kʰ o ŋ m a + kʰ o ŋ t u			
121	Bantawa	to chew	kʰuma (kʰu)	kʰuma (kʰu)	kʰ u m a kʰ u		5428	0	kʰ u m a kʰ u			
122	Bantawa	the hoof	kʰura	kʰura	kʰ u r a		3051	0	kʰ u r a			
123	Bantawa	the flea	kippa	kippa	k i p p a		2563	0	k i p p a			
124	Bantawa	to hold	kɨkma (kɨktu)	kɨkma (kɨktu)	k ɨ k m a + k ɨ k t u		6080 6081	0	k ɨ k m a + k ɨ k t u			
125	Bantawa	to fear (be afraid)	kɨma (kɨsa)	kɨma (kɨsa)	k ɨ m a + k ɨ s a		5784 5785	0	k ɨ m a + k ɨ s a			
126	Bantawa	rotten (of fruits)	kɨma (kɨwu)	kɨma (kɨwu)	k ɨ m a + k ɨ w u		1436 1437	0	k - ɨ - ( m a ) + k ɨ w u			
127	Bantawa	the tooth (front)	kɨŋ	kɨŋ	k ɨ ŋ		4778	0	k ɨ ŋ			
128	Bantawa	to split	kɨpma (kɨptu)	kɨpma (kɨptu)	k ɨ p m a + k ɨ p t u		6865 6866	0	k ɨ p m a + k ɨ p t u			
129	Bantawa	to throw	kokma (kou)	kokma (kou)	k o k m a + k o u		7046 7047	0	k o k m a + k o u			
130	Bantawa	the sickle	kombi	kombi	k o m b i		4317	0	k o m b i			
131	Bantawa	the forest	koŋkʰi	koŋkʰi	k o ŋ kʰ i		2661	0	k o ŋ kʰ i			
132	Bantawa	the mosquito	koŋkoŋma	koŋkoŋma	k o ŋ k o ŋ m a		3561	0	k o ŋ k o ŋ m a			
133	Bantawa	to cook	kukma (kuktu)	kukma (kuktu)	k u k m a + k u k t u		5521 5522	0	k u k m a + k u k t u			
134	Bantawa	the thunder	kuluŋdippa	kuluŋdippa	k u l u ŋ d i p p a		4704	0	k u l u ŋ d i p p a			
135	Bantawa	to hide (conceal)	kumma	kumma	k u m m a		6029	0	k u m m a			
136	Bantawa	the branch	kusi	kusi	k u s i		2125	0	k u s i			
137	Bantawa	the leaf	kusi	kusi	k u s i		3307	0	k u s i			
138	Bantawa	the dog	kutiwa	kutiwa	k u + t i w a		2268 8426	0	k - - u - - + t i w a			
139	Bantawa	the moon	ladip	ladip	l a + d i p		7941 7944	0	- - l - a - + d i p			
140	Bantawa	the road	lam	lam	l a m		4050	0	l a m			
141	Bantawa	the foot	laŋkubak	laŋkubak	l a ŋ k u b a k		2633	0	l a ŋ k u b a k			
142	Bantawa	to wipe	laŋma (laŋsu)	laŋma (laŋsu)	l a ŋ m a + l a ŋ s u		7205 7206	0	l a ŋ m a + l a ŋ s u			
143	Bantawa	the wing	lap	lap	l a p		4936	0	l a p			
144	Bantawa	eight	lek-ka	lek-ka	l e k k a		436	0	l e k k a			
145	Bantawa	four	lek-ka	lek-ka	l e k k a		557	0	l e k k a			
146	Bantawa	to lick	lekma (lea)	lekma (lea)	l e k m a + l e a		6275 6276	0	l e k m a + l e a			
147	Bantawa	the tongue	lem	lem	l e m		4753	0	l e m			
148	Bantawa	to learn	lema (lesu)	lema (lesu)	l e m a + l e s u		6246 6247	0	l e m a + l e s u			
149	Bantawa	the day (opposed to night)	len	len	l e n		2228	0	l e n			
150	Bantawa	to plant (vegetals, rice)	litma (littu)	litma (littu)	l i t m a + l i t t u		6385 6386	0	l i t m a + l i t t u			
151	Bantawa	to say	loma (lo)	loma (lo)	l o m a + l o		6578 6579	0	l o m a + l o			
152	Bantawa	to run	lotma (lora)	lotma (lora)	l o t m a + l o r a		6549 6550	0	l o t m a + l o r a			
153	Bantawa	to sing	luma (luwa)	luma (luwa)	l u m a + l u w a		6700 6701	0	l u m a + l u w a			
154	Bantawa	the stone (a piece of)	luŋ	luŋ	l u ŋ		4597	0	l u ŋ			
155	Bantawa	the liver	luŋmak	luŋmak	l u ŋ m a k		3383	0	l u ŋ m a k			
156	Bantawa	the needle (for sewing)	lupmit	lupmit	l u p m i t		3783	0	l u p m i t			
157	Bantawa	the seed	luwa	luwa	l u + w a	 _-:suffix/wa	4205 8118	0	- - l - - u + w a			
158	Bantawa	the woman	ma	ma	m a	mother	4986	0	m - a - -			
159	Bantawa	middle	majhan	majhan	m a dzʱ a n		1075	0	m a dzʱ a n			
160	Bantawa	dark	makcɨkpa	makcɨkpa	m a k c ɨ k p a		326	0	m a k c ɨ k p a			
161	Bantawa	black	makɨwa	makɨwa	m a k ɨ w a		240	0	m a k ɨ w a			
162	Bantawa	the rope	makyɨ	makyɨ	m a k y ɨ		4125	0	m a - k y ɨ			
163	Bantawa	to forget	manma kʰanma	manma kʰanma	m a n m a + kʰ a n m a		5910 5911	0	m a n m a + kʰ a n m a			
164	Bantawa	tomorrow	maŋkolen	maŋkolen	m a ŋ k o l e n		7282	0	m a ŋ k o l e n			
165	Bantawa	the wife	masɨng	masɨng	m a s ɨ n g		4878	0	m a s ɨ n g			
166	Bantawa	the sheep	mekʰara	mekʰara	m e kʰ a r a		4246	0	m e kʰ a r a			
167	Bantawa	to think (reflect)	minma (mittu)	minma (mittu)	m i n m a + m i t t u		7012 7013	0	m i n m a + m i t t u			
168	Bantawa	the fire	miri	miri	m i + r i		2518 8131	0	m i - + r i			
169	Bantawa	the tail	miri	miri	m i r i		4652	0	- m - - i r i			
170	Bantawa	the eye	mɨk	mɨk	m ɨ k		2446	0	m - ɨ - - k			
171	Bantawa	to fight	mɨma	mɨma	m ɨ m a		5805	0	m ɨ m a			
172	Bantawa	the person	mɨna	mɨna	m ɨ + n a	 ?	3921 8133	0	- m - ɨ - + n a			
173	Bantawa	the body hair (hair or fur)	mɨwa	mɨwa	m ɨ + w a	hair _-:suffix/wa	2074 8135	0	- m ɨ - - - - - + w a			
174	Bantawa	the feather	mɨwa	mɨwa	m ɨ w a		2489	0	m ɨ w a			
175	Bantawa	that	mo	mo	m o		1824	0	m o			
176	Bantawa	there	moyu	moyu	m o + y u		5106 7750	0	m o + y u			
177	Bantawa	the ear	nabak	nabak	n a + b a k	_-:prefix/na ?	2344 8451	0	n - a - - + b a k			
178	Bantawa	the nose	nabu	nabu	n a + b u	_-:prefix/na ?	3869 8144	0	- n - a + b u			
179	Bantawa	the rainbow	nakɨmaŋ	nakɨmaŋ	n a k ɨ m a ŋ		3979	0	n a k ɨ m a ŋ			
180	Bantawa	the sun	nam	nam	n a m		4627	0	n - a - m			
181	Bantawa	to play	nam lokma	nam lokma	n a m + l o k m a	 ?	6416 6417	0	n a m + l o k m a			
182	Bantawa	the lightning	namcimpilek	namcimpilek	n a m c i m p i l e k		3337	0	n a m c i m p i l e k			
183	Bantawa	to smell (perceive odor) [transitive]	namma (namsu)	namma (namsu)	n a m m a + n a m s u		7753 6784	0	- - n a m - - - - - m a + n a m s u			
184	Bantawa	the night	nampɨk	nampɨk	n a m p ɨ k		3807	0	n a m p ɨ k			
185	Bantawa	the hail	naŋ	naŋ	n a ŋ		2883	0	n a ŋ			
186	Bantawa	other	ni	ni	n i		1319	0	n i			
187	Bantawa	the sky	ninama	ninama	n i n a m a		4373	0	n i n a m a			
188	Bantawa	the name	nɨŋ	nɨŋ	n ɨ ŋ		3728	0	n ɨ ŋ			
189	Bantawa	soft	notma (notta)	notma (notta)	n o t m a + n o t t a		1723 1724	0	n o t m a + n o t t a			
190	Bantawa	nine	nu-ka	nu-ka	n u + k a	 _-:suffix/ka	7900 1210	0	- n - u - - - + - k - - a - - - -			
191	Bantawa	to rub	nukma (nuktu)	nukma (nuktu)	n u k m a + n u k t u		6529 6530	0	n u k m a + n u k t u			
192	Bantawa	new	nuŋwa	nuŋwa	n u ŋ w a		1187	0	n u ŋ w a			
193	Bantawa	good	nuwak	nuwak	n u w a k		605	0	n u w a k			
194	Bantawa	the fish	ŋa	ŋa	ŋ a		2540	0	ŋ a -			
195	Bantawa	to bite	ŋekma	ŋekma	ŋ e k m a		5261	0	ŋ e k m a			
196	Bantawa	sick	okma (okta)	okma (okta)	o k m a + o k t a		1617 1618	0	o k m a + o k t a			
197	Bantawa	white	omma	omma (oma)	o m m a + o m a		7468 7469	0	o m m a + o m a			
198	Bantawa	to hunt	onma (onta)	onma (onta)	o n m a + o n t a		6110 6111	0	o n m a + o n t a			
199	Bantawa	here	otni	otni	o t n i		725	0	o t n i			
200	Bantawa	to scratch	pamma (pamtu)	pamma (pamtu)	p a m m a + p a m t u		6601 6602	0	p a m m a + p a m t u			
201	Bantawa	late	paŋma (paŋsa)	paŋma (paŋsa)	p a ŋ m a + p a ŋ s a		922 923	0	p a ŋ m a + p a ŋ s a			
202	Bantawa	the frog	paŋtok	paŋtok	p a ŋ + t o k		2720 8484	0	- - - - - p - a - - ŋ - - - - + t o k			
203	Bantawa	the husband	pasɨŋ	pasɨŋ	p a s ɨ ŋ		3155	0	p a s ɨ ŋ			
204	Bantawa	to vomit	pema (pesa)	pema (pesa)	p e m a + p e s a		7129 7130	0	p e m a + p e s a			
205	Bantawa	to fly (move through air)	penma	penma	p e n m a		5885	0	p e n m a			
206	Bantawa	to shoot (an arrow)	pʰitma (pʰittu)	pʰitma (pʰittu)	pʰ i t m a + pʰ i t t u		6670 6671	0	pʰ i t m a + pʰ i t t u			
207	Bantawa	to squeeze	pinma (pilu)	pinma (pilu)	p i n m a + p i l u		6887 6888	0	p i n m a + p i l u			
208	Bantawa	the snake	pɨ	pɨ	p ɨ		7814	0	- p - - ɨ - -			
209	Bantawa	to give	pɨma (pɨ)	pɨma (pɨ)	p ɨ m a + p ɨ	 ?	5954 5956	0	p ɨ m a + p ɨ - - -			
210	Bantawa	to grow	ponma (poya)	ponma (poya)	p o n m a + p o y a		5985 5986	0	p o n m a + p o y a			
211	Bantawa	the neck	pot	pot	p o t		3756	0	p o t			
212	Bantawa	seven	rek-ka	rek-ka	r e k + k a	 _-:suffix/ka	1508 1509	0	r e k + k a			
213	Bantawa	eight	rek-wa	rek-wa	r e k w a		447	0	r e k w a			
214	Bantawa	early	rimrim	rimrim	r i m r i m		414	0	r i m r i m			
215	Bantawa	the meat	sa	sa	s a		7817	0	s a -			
216	Bantawa	to breathe	sakma sonma (sontu)	sakma sonma (sontu)	s a k m a + s o n m a + s o n t u		5320 5321 5322	0	s a k m a + s o n m a + s o n t u			
217	Bantawa	the bamboo	samba	samba	s a m b a		1937	0	s a m b a			
218	Bantawa	straight	samucʰe	samucʰe	s a m u cʰ e		1775	0	s a m u cʰ e			
219	Bantawa	who	saŋ	saŋ	s a ŋ		7495	0	s - - a ŋ -			
220	Bantawa	the star	saŋken	saŋken	s a ŋ k e n		4549	0	s a ŋ k e n			
221	Bantawa	six	sek-ka	sek-ka	s e k + k a	 _-:suffix/ka	1638 1639	0	s e k + k a			
222	Bantawa	the dream	senmaŋ	senmaŋ	s e n m a ŋ		2292	0	s e n m a ŋ			
223	Bantawa	sharp	sepma (septu)	sepma (septu)	s e p m a + s e p t u		1534 1535	0	s e p m a + s e p t u			
224	Bantawa	to kill	setma	setma	s e t + m a	 _-:suffix/ma	6142 9	0	s - e t + m a			
225	Bantawa	the fruit	si	si	s i	fruit	2798	0	s i -			
226	Bantawa	to know	sinma (sintu)	sinma (sintu)	s i + n m a + s i n t u	know ? ?	6199 6198 8213	0	s - i - - - + n m a + s i n t u			
228	Bantawa	the louse	sit	sit	s i t		3411	0	s i - t - - -			
229	Bantawa	to die	sɨma	sɨma	s ɨ + m a	 _-:suffix/ma	5654 9	0	s - ɨ - - + m a			
230	Bantawa	firewood	sɨŋ	sɨŋ	s ɨ ŋ	fire	507	0	- s - ɨ ŋ			
231	Bantawa	the tree	sɨŋ	sɨŋ	s ɨ ŋ	fire	4806	0	s - ɨ ŋ			
232	Bantawa	the wood (material)	sɨŋ	sɨŋ	s ɨ ŋ	fire	5013	0	s - ɨ ŋ			
234	Bantawa	the lung	som	som	s o m		3433	0	s o m			
235	Bantawa	to flow	sonma	sonma	s o n m a		5861	0	s o n m a			
236	Bantawa	three	sum-ka	sum-ka	s u m + k a	 _-:suffix/ka	7832 8505	0	- - s u m - - + k a			
237	Bantawa	the head	taŋ	taŋ	t a ŋ	head	2989	0	t a ŋ			
238	Bantawa	the hair (of the head)	taŋmɨwa	taŋmɨwa	t a ŋ m ɨ w a		2931	0	t a ŋ m ɨ w a			
239	Bantawa	the hair	taŋmɨwa	taŋmɨwa	t a ŋ m ɨ w a		2907	0	t a ŋ m ɨ w a			
240	Bantawa	to fall	tenma (tea)	tenma (tea)	t e n m a + t e a		5760 5761	0	t e n m a + t e a			
241	Bantawa	the ashes	tʰabut	tʰabut	tʰ a b u t		1898	0	tʰ a b u t			
242	Bantawa	the cloud	tʰakri	tʰakri	tʰ a k r i		2206	0	tʰ a k r i			
243	Bantawa	to climb	tʰaŋma	tʰaŋma	tʰ a ŋ m a		5473	0	tʰ a ŋ m a			
244	Bantawa	the fat (grease)	tʰep	tʰep	tʰ e p		2470	0	tʰ e p			
245	Bantawa	the intestines	tʰok	tʰok	tʰ o k		3207	0	tʰ o k			
246	Bantawa	to wash	tʰokma (tʰou)	tʰokma (tʰou)	tʰ o k m a + tʰ o u		7185 7186	0	tʰ o k m a + tʰ o u			
247	Bantawa	to spit	tʰuŋma (tʰuŋsu)	tʰuŋma (tʰuŋsu)	tʰ u ŋ m a + tʰ u ŋ s u		6837 6838	0	tʰ u ŋ m a + tʰ u ŋ s u			
248	Bantawa	to sew	tʰupma (tʰuu)	tʰupma (tʰuu)	tʰ u p m a + tʰ uː		6651 6652	0	tʰ u p m a + tʰ uː			
249	Bantawa	the wheat	tɨcʰoŋ	tɨcʰoŋ	t ɨ + cʰ o ŋ		4863 8239	0	t ɨ + cʰ o ŋ			
250	Bantawa	to push	tomma (tomtu)	tomma (tomtu)	t o m m a + t o m t u		6477 6478	0	t o m - m a + t o m t u			
251	Bantawa	the nail (fingernail or claw)	tumbulik	tumbulik	t u m b u l i k		3700	0	t u m b u l i k			
252	Bantawa	the knee	tumpɨcʰɨk	tumpɨcʰɨk	t u m p ɨ cʰ ɨ k		3232	0	t u m p ɨ cʰ ɨ k			
253	Bantawa	the smoke	tuŋkʰu	tuŋkʰu	t u + ŋ kʰ u		8263 4403	0	t u + - ŋ kʰ u - - - - -			
254	Bantawa	the rain	wa	wa	w a	rain	3954	29790	w a			
255	Bantawa	the dew	wacʰok	wacʰok	w a cʰ o k		2244	0	w a cʰ o k			
256	Bantawa	the earthworm	walempacʰɨk	walempacʰɨk	w a l e m p a cʰ ɨ k		2390	0	w a l e m p a cʰ ɨ k			
257	Bantawa	to scratch	wamma (wamtu)	wamma (wamtu)	w a m m a + w a m t u		6601 6602	0	w a m m a + w a m t u			
