ID	CONCEPT	CHINESE	GLOSS_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	the egg			ra-stu							
	and			ræ							
	to run			rdʑu							
	the tooth (front)			reju-ɕə-mæ							
	one			rəu							
	the stone (a piece of)			rgæ-væ							
	to sleep			rgə							
	hard			rgi							
	to wash			rɣi							
	hundred			rjə							
	the wife			rjəu							
	eight			rjɛ							
	the horse			rji							
	to stand			rji							
	to steal			rkə							
	cold (of temperature)			rkʰo							
	the river			rɲo							
	to hunt			rŋa							
	the knee			rŋæ-məu							
	the tail			rŋæma							
	green			rŋə							
	narrow			ro							
	to swell			ro							
	to bite			rtɕʰæ							
	to tie (together)			rtɕʰe							
	the shit			rtɕɔpa							
	the lung			rtsʰe							
	the fat (grease)			rtsʰi							
	to count			rtsi							
	the grass			rura							
	the back			rvæqʰi							
	to cook			s-mə							
	to tie (together)			s-pʰrəu							
	the rope			səri							
	to think (reflect)			səsji							
	to die			sʰæ							
	the blood			sʰe							
	the liver			sʰe							
	who			sʰə							
	the tree			sʰə-pʰo							
	the branch			sʰə-var							
	when			sʰədə							
	the forest			sʰənɔ							
	firewood			sʰi							
	the wood (material)			sʰi							
	the bark			sʰi-dʑæ							
	the ant			skʰrəu							
	to cut		to cut, to be sharp enough to cut (tools with blades)	skʰuæ							
	the moon			slu-va							
	the daughter			smæ-ŋa							
	the girl			smæ-ŋa							
	female			sme							
	the woman			sme							
	to smell (perceive odor) [transitive]			snə-no 							
	the nose			sni							
	salty			sɲa							
	seven			sɲe							
	the frost			sŋar							
	to burn [transitive]		to burn (primarily used for oil and gasoline only; e.g. a car, but also human subjects)	spə							
	the wolf			spjaŋkə							
	the frog			spoɴqæl							
	the root			sqʰa							
	late			sqʰlə							
	the otter			sræn							
	all			stæ							
	to fear (be afraid)			stɕær							
	to squeeze			stʰə							
	the road			tɕæ							
	far			tɕæ-dʑi							
	near			tɕæ-ne							
	above			tɕʰa							
	big			tɕʰæ							
	old (of person)			tɕʰæ							
	the bone			tɕʰəri							
	all			tʰæmtɕæ							
	the lightning			tʰɔ							
	to come		to come (reference point outside the ego)	tje							
	correct (right)			tɔ							
	many		to be many (of wild animals, daemons, and ogres)	tsʰa							
	the goat			tsʰæ							
	the salt			tsʰə							
	to cut		to cut (by pressing against a   blade)	v-jæ							
	to give			v-kʰo							
	to hold			v-kʰrə							
	to cut			v-kʰuæ							
	to shoot (an arrow)			v-læ							
	to cut		to cut into pieces (meat), to cut cloth	v-qʰri							
	to dig			v-qua							
	to hit			v-ra							
	to buy			v-rə							
	to sew			v-rəu							
	to know			v-se							
	to know (something)			v-se							
	to kill			v-sʰæ							
	to open			v-tɕʰi							
	to split			v-tʰæ							
	to drink			v-tʰi							
	to plant (vegetals, rice)			v-ʑə							
	the pig			va							
	the father			væ							
	the seed			vɕʰə							
	small			vdəu							
	young			vdəu							
	to see			vdo							
	the husband			vdzi							
	the man (male human)			vdzi							
	the person			vdzi							
	the wing			vdzor							
	below, under			və							
	the belly			vəu							
	the mouse or rat			vtɕə							
	the tongue			vʑæ							
	the neck			vʑe							
	the sun			wbə							
	the louse			wɕəu							
	the sickle			wdʑə							
	the house			we							
	the sparrow			we-wəzə							
	the intestines			wə-wa							
	the bird			wəzə							
	light (of weight)			wji~wji							
	the wind			wlæ							
	the fire			wmə							
	to blow (of wind)			wmə							
	the body hair (hair or fur)			wmərja							
	the hair			wmərja							
	twenty			wnæ-sqʰa							
	two			wne							
	many			wre							
	the water			wrə							
	dry			wro							
	to be alive			wsʰə							
	three			wsʰu							
	six			wtɕʰəu							
	warm (hot)			wtsæ							
	few			wzə							
	thick		to be thick (e.g. clothes)	wʑa							
	four			wʑæ							
	the bamboo			wʑə							
	yellow			xsærpo							
	to marry (a man marries a woman)			zdəu							
	the cloud			zdo							
	to hide (conceal)			zgo							
	the star			zgre							
	ten			zɣa							
	to yawn			zɣe v-læ							
	male			zi							
	the son			zi							
	the heart			zjar							
	to sing			zla							
	shy		to be shy of	zra							
	the hand			ʑa							
	to come			ʑæ							
	the wheat			ʑe							
	wide			ʑə							
	to throw			ʑua							
	dirty										
	full										
	here										
	horizontal										
	new										
	rotten (of fruits)										
	stone (of fruit)										
	that										
	the ashes										
	the child (descendant)										
	the earth (soil)										
	the feather										
	the flea										
	the fog										
	the nit										
	the sea										
	the year										
	there										
	this										
	to breathe										
	to float										
	to flow										
	to learn										
	to pull										
	to reside (live)										
	to rub										
	to sow (broadcast, scatter seeds)										
	to wipe										
