ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	ALIGNMENT	NOTE	BORROWING	CHINESE	COGID	COGIDS	HANZI	MORPHEME_STRUCTURE
1055	Japhug	breasts	the breast (female)	tɯ-nɯ	t ɯ ◦ n ɯ	( - - - t ɯ ◦ ) n ɯ - - - ( - - - - - - - - - - - - - - - - - - - - )			乳房	10186		乳	
1059	Tangut	breasts	the breast (female)	ner²	n e r ²				乳房	10185		乳	
1108	Japhug		to breathe	ɯ-sŋɯro (lɤt)	ɯ ◦ s ŋ ɯ r o _ l ɤ t )				呼吸	0			
1161	Japhug	burn	to burn [transitive]	βlɯ	β l ɯ				烧	0		焚	
1165	Tangut	burn	to burn [transitive]	njwɨ̣²	n j w ɨ̣ ²				烧	0		焚	
1214	Japhug		to buy	χtɯ	χ t ɯ	χ t ɯ				2333			
1267	Japhug		to chew	nɤŋka	n ɤ ŋ k a	- n ɤ ŋ k a				1534			
1320	Japhug		the child (descendant)	tɤ-rɟit	t ɤ ◦ r ɟ i t					0			
1373	Japhug		to choose	ntsʰi	n tsʰ i					0			
1426	Japhug		to climb	nɯʁrɯʁra	n ɯ ʁ r ɯ ʁ r a					0			
1479	Japhug	cloud	the cloud	zdɯm	z d ɯ m	z d ɯ - - m -			云	927		雲	
1483	Tangut	cloud	the cloud	djɨ̣j²	d j ɨ̣ j ²				云	927		雲	
1532	Japhug	cold	cold (of temperature)	mɯɕtaʁ	m ɯ ɕ t a ʁ	( - - - m ɯ - ) ɕ t a ʁ			冷	1002		寒	
1536	Tangut	cold	cold (of temperature)	dạ²	d ạ/a ²	d ạ/a ²			冷	1002		寒	
1585	Japhug	come	to come	ɣi	ɣ i	- ɣ i			来	759		來	
1589	Tangut	come	to come	ljịj²	l j ị j ²				来	10244		來	
1638	Japhug		to cook	sqa	s q a					0			
1691	Japhug		correct (right)	ɣɤŋgi	ɣ ɤ ŋ g i	( ɣ ɤ - ) ŋ g i			对	1465			
1695	Tangut		correct (right)	ɴgrig					对	0			
1744	Japhug		to count	rtsi	r ts i	) r ts i		tib[rtsi]	数	1019			
1797	Japhug		to cry (weep)	ɣɤwu	ɣ ɤ w u	- ɣ ɤ w u				1127			
1850	Japhug		to cut	rɤkrɯ	r ɤ k r ɯ				砍	0			
1903	Japhug		the day (opposed to night)	tɯ-sŋi	t ɯ ◦ s ŋ i				天	0			
1956	Japhug	die	to die	si	s i	) s i			死	163		死	
1960	Tangut	die	to die	sji²	s j i ²				死	163		死	
2009	Japhug		to dig	lɣa	l ɣ a	l ɣ a			挖	3223			
2062	Japhug		dirty	ɴqʰi	ɴ qʰ i	- ɴ qʰ - i			脏	1104			
2115	Japhug	dog	the dog	khɯna	kʰ ɯ n a	( - - - - - - - - - - - - ) kʰ - ɯ - - ( - ) - ( - ) - - ( - - - n a )			狗	2065		犬	
2119	Tangut	dog	the dog	khjwɨ¹	kʰ j w ɨ ¹				狗	2065		犬	
2168	Japhug		the dream	tɯ-jmŋo	t ɯ ◦ j m ŋ o	( - - - - - - - - - - - - t ɯ ◦ - - - - - ) j m ŋ - o - - - - - ( - - - - - - - - - - - - - - )				10217			
2221	Japhug	drink	to drink	tsʰi	tsʰ i	- tsʰ i			喝	2416		飲	
2225	Tangut	drink	to drink	thji²	tʰ j i ²				喝	2416		飲	
2274	Japhug	dry	dry	zbaʁ	z b a ʁ	z b a ʁ			干	1199		乾	
2278	Tangut	dry	dry	rowr¹	r o w r ¹				干	993		乾	
2327	Japhug		the dust	rdɯl	r d ɯ l	( - - - - - - - - - - - - - - ) - r d - ɯ l - ( - - - - )		tib[rdul]	尘土	507			
2380	Japhug	ear	the ear	tɯ-rna	t ɯ ◦ r n a	( - - - - - - - - - t ɯ ◦ - - - - - - - - ) r n a - - - - - - - ( - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - )			耳朵	32		耳	
2384	Tangut	ear	the ear	nju¹	n j u ¹				耳朵	32		耳	
2433	Japhug	earth	the earth (soil)	tʰɤlwa	tʰ ɤ l w a	tʰ ɤ l w a		tib[thal.ba]	土地	1243		土	
2437	Tangut	earth	the earth (soil)	dzjiw¹	d z j i w ¹				土地	10195		土	
2486	Japhug	eat	to eat	ndza	ⁿdz a	) ⁿdz a			吃	3419		食	
2490	Tangut	eat	to eat	dzji¹	d z j i ¹				吃	3419		食	
2539	Japhug	egg	the egg	tɤ-ŋgɯm	t ɤ ◦ ŋg ɯ m	t ɤ ◦ ŋg ɯ m			鸡蛋	852		卵	
2543	Tangut	egg	the egg	tew¹	t e w ¹				鸡蛋	10196		卵	
2592	Japhug		eight	kɯrcat	k ɯ r c a t	( - - - - - k ɯ ) - - - r c - a - - t ( - - ) - -				183			
2645	Japhug	eye	the eye	tɯ-mɲaʁ	t ɯ ◦ m ɲ a ʁ	( - - - - - ) t ɯ ◦ m ɲ a ʁ - - - ( - - - - - - - - - - - - - )			眼睛	4		目	
2649	Tangut	eye	the eye	mej¹	m e j ¹				眼睛	4		目	
2698	Japhug		to fall	atɤr	a t ɤ r				掉	0			
2751	Japhug		far	arqʰi	a r qʰ i	a r qʰ i			元	973			
2804	Japhug	grease	the fat (grease)	tɯ-kri	t ɯ ◦ k r i				脂肪	0		脂	
2808	Tangut	grease	the fat (grease)	lhə	lʰ ə				脂肪	0		脂	
2857	Japhug		the father	tɤ-wa	t ɤ ◦ w a	( t ɤ ◦ - - - - - - - ) - w a - - - ( - - - - - - - - - - - - )			父亲	107			
2910	Japhug		to fear (be afraid)	mu	m u				怕	0			
2963	Japhug	feather	the feather	tɤ-muj	t ɤ ◦ m u j	( t ɤ ◦ ) m u j			羽毛	1374		羽	
3016	Japhug		female	tɕheme	tɕʰ e m e					0			
3069	Japhug		few	rkɯn	r k ɯ n			tib[dkon]	少	0			
3122	Japhug		to fight	alɯlɤt	a l ɯ l ɤ t	) a l ɯ l ɤ t			打架	1456			
3175	Japhug	fire	the fire	smi	s m i	( - - - - - - - - - - - - - ) - s m - i - ( - ) - - ( - - - )			火	1746		火	
3179	Tangut	fire	the fire	məə¹	m əə ¹				火	1746		火	
3228	Japhug	fish	the fish	qaɟy	q a ɟ y	( - - - - q a - - ) ɟ y -			鱼	804		魚	
3232	Tangut	fish	the fish	ʑju²	ʑ j u ²				鱼	804		魚	
3281	Japhug		five	kɯmŋu	k ɯ m ŋ u	( - - - - - - k ɯ - - - ) m ŋ - - u - - - ( - - - )			五	10357			
3334	Japhug		to float	ndʑaʁ	ndʑ a ʁ	ndʑ a ʁ			漂浮	2699			
3387	Japhug		to flow	jit	j i t	- j i t			流	1603			
3440	Japhug		the flower	mɯntoʁ	m ɯ n t o ʁ	m ɯ n - - t o ʁ - - - - -		tib[me.tog]	花	248			
3493	Japhug	fly	to fly (move through air)	nɯqambɯmbjom	n ɯ q a mb ɯ mb j o m	) n ɯ q a mb ɯ mb j o m			飞	10206		飛	
3497	Tangut	fly	to fly (move through air)	dʑjwow¹	dʑ j w o w ¹				飞	10206		飛	
3546	Japhug		the fog	zdɯm	z d ɯ m	( - - - ) z d ɯ - - - m ( - - - - - - - - - - - - )			雾	668			
3599	Japhug	foot	the foot	tɯ-mi	t ɯ ◦ m i	( t ɯ ◦ ) m i			脚	701		足	
3603	Tangut	foot	the foot	khjɨ¹	kʰ j ɨ ¹				脚	966		足	
3652	Japhug		the forest	sɯŋgɯ	s ɯ ŋ g ɯ	s ɯ - - ( - - - - - - - - - - ŋ g ɯ - - - - - - - - - )			森林	683			
3705	Japhug		four	kɯβde	k ɯ β d e	k ɯ - - - β d e - - - - - - ( - - - - - - )			四	263			
3758	Japhug		to freeze (intransitive)	jpɣom	j p ɣ o m				结冰	0			
3811	Japhug		the fruit	sɯmat	s ɯ m a t	s ɯ m a t			水果	4085			
3864	Japhug	full	full	mtsʰɤt	m tsʰ ɤ t	( - - - ) m tsʰ ɤ t			满	1357		滿	
3868	Tangut	full	full	sə¹	s ə ¹				满	1357		滿	
3917	Japhug	give	to give	mbi	m b i	) m b i			给	1913		畀	
3921	Tangut	give	to give	khjow¹	kʰ j o w ¹				给	2125		畀	
3970	Japhug	good	good	pe	p e	- p e			好	179		好	
3974	Tangut	good	good	ŋạ²	ŋ ạ/a ²	ŋ ạ/a ²			好	1682		好	
4023	Japhug		the grass	xɕaj	x ɕ a j	x ɕ a j -			草	1361			
4076	Japhug	green	green	arŋi	a r ŋ i	- - - - a - r ŋ - i - - - ( - - - - - )			绿	1098		青	
4080	Tangut	green	green	ŋwər¹	ŋ w ə r ¹				绿	1098		青	
4129	Japhug		to grow	ndzɤt	n d z ɤ t					0			
4182	Japhug	hair	the hair (of the head)	tɤ-kɤrme	t ɤ k ɤ r m e	- - - - - - - - - - - - - - - - - ( t ɤ - ) k ɤ - r m e - - - - - - ( - - )			头发	2014		毛	
4186	Tangut	hair	the hair (of the head)	mej²	m e j ²				头发	2014		毛	
4235	Japhug	hand	the hand	tɯ-jaʁ	t ɯ ◦ j a ʁ	( t ɯ ◦ ) j a ʁ - ( - - - - - - - - - - - )			手	229		手	
4239	Tangut	hand	the hand	lạ¹	l ạ/a ¹	l ạ/a ¹			手	229		手	
4288	Japhug		he or she [third person singular]	ɯʑo	ɯ ʑ o	- ɯ ( - ʑ o )			他	965			
4341	Japhug	head	the head	tɯ-ku	t ɯ ◦ k u	( - - - - - - - - t ɯ ◦ - - - ) - - k - u - - - - - ( - - - - - - - - - - - - - - - - )			头	1426		首	
4345	Tangut	head	the head	ɣu¹	ɣ u ¹				头	1426		首	
4394	Japhug	hear	to hear	mtsʰɤm	m tsʰ ɤ m	m tsʰ ɤ m			听见	3152		聞	
4398	Tangut	hear	to hear	mji¹	m j i ¹				听见	3752		聞	
4447	Japhug	heart	the heart	tɯ-sni	t ɯ ◦ s n i	( t ɯ ◦ ) s n i ( - ) - ( - - - - - - - - - )			心脏	539		心	
4451	Tangut	heart	the heart	njiij¹	n j ii j ¹				心脏	539		心	
4500	Japhug		heavy	rʑi	r ʑ i	- - - - - - - - - - - - - - r ʑ i - - - - - - - - - - - - - - - - - - - - -			重	10379			
4553	Japhug		here	kɯre	k ɯ r e				这里	1867			
4606	Japhug		to hide (conceal)	sɤnbaʁ	s ɤ n b a ʁ	s ɤ n b a ʁ				1950			
4659	Japhug		to hit	ʁndɯ	ʁ n d ɯ				打	0			
4712	Japhug		to hold	ndo	n d o	n d o			拿	1998			
4765	Japhug	horn	the horn (keratinized skin)	ta-ʁrɯ	t a ◦ ʁ r ɯ	( - - - t a ◦ - - - ) - - ʁ r - ɯ - - - ( - - - - - - - - - - - - )			角	312		角	
4769	Tangut	horn	the horn (keratinized skin)	khiwə¹	kʰ i w ə ¹				角	312		角	
4818	Japhug		the house	kʰa	kʰ a	- kʰ a - - ( - - - - - )				29776			
4871	Japhug		how	tɕʰi	tɕʰ i			tib[tɕʰi]	怎么	0			
4924	Japhug		hundred	ɣurʑa	ɣ u r ʑ a	( - - - - - ) ɣ u - - r ʑ - a - - - ( - - - - - - )				185			
4977	Japhug		to hunt	ɣɤrʁaʁ	ɣ ɤ r ʁ a ʁ	) ɣ ɤ r ʁ a ʁ			打猎	1455			
5030	Japhug		the husband	tɤ-nmaʁ	t ɤ ◦ n m a ʁ				丈夫	1942			
5083	Japhug	I	I [first person singular]	aʑo	a ʑ o	- - a - - ʑ o -			我	327		吾	
5087	Tangut	I	I [first person singular]	ŋa²	ŋ a ²				我	327		吾	
5136	Japhug		the ice	tɤ-jpɣom	t ɤ ◦ j p ɣ o m	( - - - - - t ɤ ◦ - ) - j p - - - - ɣ - o m - ( - )			冰	1169			
5189	Japhug		the intestines	tɯ-pu	t ɯ ◦ p u					0			
5242	Japhug	kill	to kill	sat	s a t	) s a t			杀	3125		殺	
5246	Tangut	kill	to kill	sja¹	s j a ¹				杀	3125		殺	
5295	Japhug	knee	the knee	tɯ-χpɯm	t ɯ ◦ χ p ɯ m	- t ɯ ◦ χ p ɯ m			膝	2039		膝	
5299	Tangut	knee	the knee	ŋwer²	ŋ w e r ²				膝	1193		膝	
5348	Japhug	know	to know (something)	sɯz	s ɯ z	- s ɯ z			知道	2279		知	
5352	Tangut	know	to know (something)	nwə¹	n w ə ¹				知道	435		知	
5401	Japhug		the lake	mtsʰu	m tsʰ u	- m tsʰ u		tib[mtsʰo]	湖	387			
5454	Japhug		to laugh	nɤre	n ɤ r e	) n ɤ r e			笑	438			
5507	Japhug	leaf	the leaf	tɤ-jwaʁ	t ɤ ◦ j w a ʁ	t ɤ ◦ j w a ʁ			叶子	881		葉	
5511	Tangut	leaf	the leaf	bạ²	b ạ/a ²	b ạ/a ²			叶子	881		葉	
5560	Japhug		left	ʁe	ʁ e	( - - ) ʁ e			左边	422			
5613	Japhug		the leg	tɯ-mi	t ɯ ◦ m i				脚	0			
5666	Japhug		to lie down	rŋgɯ	r ŋ g ɯ	r ŋ g ɯ				2363			
5719	Japhug	lie	to lie, rest	rŋgɯ	r ŋ g ɯ				趟	0		臥	
5723	Tangut	lie	to lie, rest	gjwɨr¹	g j w ɨ r ¹				趟	0		臥	
5772	Japhug		the lightning	tɤ-rmbja	t ɤ ◦ r m b j a					0			
5825	Japhug	liver	the liver	tɯ-mtsʰi	t ɯ ◦ m tsʰ i	- t ɯ ◦ m tsʰ i			肝	2076		肝	
5829	Tangut	liver	the liver	sji¹	s j i ¹				肝	2076		肝	
5878	Japhug	long	long	zri	z r i	z r i - - - ( - - - - - - - - - - - - - )			长	547		長	
5882	Tangut	long	long	zjir²	z j i r ²				长	547		長	
5931	Japhug	louse	the louse	zrɯɣ	z r ɯ ɣ	- z r ɯ ɣ			虱子	2077		蝨	
5935	Tangut	louse	the louse	ɕjiw²	ɕ j i w ²				虱子	2077		蝨	
5984	Japhug		male	pʰu	pʰ u			tib[pʰo]		0			
6037	Japhug	man	the man (male human)	tɤ-tɕɯ	t ɤ ◦ tɕ ɯ	t ɤ ◦ tɕ ɯ			男人	2459		男	
6041	Tangut	man	the man (male human)	goor¹	g oo r ¹				男人	1210		男	
6090	Japhug	many	many	xcat	x c a t	x - - - c a t			多	979		多	
6143	Japhug	flesh	the meat	tɤ-mthɯm	t ɤ ◦ m tʰ ɯ m	t ɤ ◦ m tʰ ɯ m			肉	3000		肌	
6147	Tangut	flesh	the meat	tɕʰji¹	tɕʰ j i ¹				肉	10227		肌	
6196	Japhug	moon	the moon	tɯ-sla	t ɯ ◦ s l a	- t ɯ ◦ s l a			月亮	2081		月	
6200	Tangut	moon	the moon	lhjị²	lʰ j ị j ²				月亮	2081		月	
6249	Japhug		the mosquito	ʁmɤrɲɯɣ	ʁ m ɤ r ɲ ɯ ɣ	ʁ m ɤ r ɲ ɯ ɣ				2487			
6302	Japhug		the mother	tɤ-mu	t ɤ ◦ m u	- t ɤ ◦ m u			母亲	1213			
6355	Japhug	mountain	the mountain	zgo	z g o	- z g o		Tibetan[sgaŋ]	山	2509		山	
6359	Tangut	mountain	the mountain	ŋər¹	ŋ ə r ¹				山	3760		山	
6412	Tangut	mouth	the mouth	mər	m ə r				嘴	4137		口	
6461	Japhug	claw	the nail (fingernail or claw)	tɯ-ndzrɯ	t ɯ ◦ ⁿdz r ɯ	- t ɯ ◦ ⁿdz r ɯ			爪子	1194		爪	
6465	Tangut	claw	the nail (fingernail or claw)	dzjị¹	d z j ị ¹	dz j ị ¹			爪子	1194		爪	
6514	Japhug	name	the name	tɤ-rmi	t ɤ ◦ r m i	- t ɤ ◦ r m i			名字	18		名	
6518	Tangut	name	the name	mjiij²	m j ii j ²				名字	18		名	
6567	Japhug		narrow	tɕɤr	tɕ ɤ r	- - - tɕ ɤ r			窄	671			
6620	Japhug		near	armbat	a r mb a t	( a - - ) r mb a t			近	974			
6673	Japhug	neck	the neck	tɯ-mke	t ɯ ◦ m k e	- t ɯ ◦ m k e			脖子	695		頸	
6677	Tangut	neck	the neck	ljwịj¹	l j w ị j ¹				脖子	122		頸	
6726	Japhug		the needle (for sewing)	taqaβ	t a q a β	- t a q a β				10231			
6779	Japhug	new	new	ɕɤɣ	ɕ ɤ ɣ	( - - - - - ) ɕ ɤ ɣ -			新	997		新	
6783	Tangut	new	new	sjiw¹	s j i w ¹				新	997		新	
6832	Japhug	night	the night	ɕɤr	ɕ ɤ r				晚上	0		夜	
6836	Tangut	night	the night	na¹	n a ¹				晚上	0		夜	
6885	Japhug		nine	kɯngɯt	k ɯ n g ɯ t	( - - - - - - - k ɯ - ) n - - - g - ɯ - t - - ( - ) - -				24			
6938	Japhug	nose	the nose	tɯ-ɕna	t ɯ ◦ ɕ n a	- t ɯ ◦ ɕ n a			鼻子	2090		鼻	
6942	Tangut	nose	the nose	njii²	n j ii ²				鼻子	2090		鼻	
6991	Japhug	not	not	mɤ-	m ɤ ◦				不	0		無	
6995	Tangut	not	not	mji¹	m j i ¹				不	0		無	
7044	Japhug		old (of person)	rgɤz	r g ɤ z	r g ɤ z - ( - - - - - - - - )		tib[rgas]	老	583			
7097	Japhug	one	one	ci	c i	- - - c i - - ( - ) - ( - - )			一	302		一	
7101	Tangut	one	one	lew¹	l e w ¹				一	302		一	
7150	Japhug		to open	cɯ	c ɯ					0			
7203	Japhug		other	kɯmaʁ	k ɯ m a ʁ					0			
7256	Japhug		painful	mŋɤm	m ŋ ɤ m					0			
7309	Japhug		the person	tɯrme	t ɯ r m e				人	0			
7362	Japhug		to plant (vegetals, rice)	ji	j i	) j i				722			
7415	Japhug		to play	anɯɣro	a n ɯ ɣ r o	a n ɯ ɣ r o			玩	3258			
7468	Japhug		to pull	rɤɕi	r ɤ ɕ i	) r ɤ ɕ i			拉	2354			
7521	Japhug		to push	sthoʁ	s tʰ o ʁ	s tʰ o ʁ			推	2768			
7574	Japhug	person	the rain	tɯmɯ	t ɯ m ɯ	- t ɯ m ɯ			雨	1164		人	
7578	Tangut	person	the rain	dzjwo²	d z j w o ²				雨	4154		人	
7627	Japhug		the mouse or rat	βʑɯ	β ʑ ɯ	- β ʑ ɯ				10424			
7680	Japhug	red	red	ɣɯrni	ɣ ɯ r n i	- ( ɣ ɯ - - - - ) r n i - ( - - - - - - )			红	1306		赤	
7684	Tangut	red	red	njij¹	n j i j ¹				红	1306		赤	
7733	Japhug		to reside (live)	rɤʑi	r ɤ ʑ i	r ɤ ʑ i				2805			
7786	Japhug		right	χcʰa	χ cʰ a	χ - - - cʰ a ( - - )			右边	920			
7839	Japhug		the river	smar	s m a r	s m a r			江	2838			
7892	Japhug	path	the road	tʂu	tʂ u	- tʂ u			路	2850		路	
7896	Tangut	path	the road	tɕja¹	tɕ j a ¹				路	1175		路	
7945	Japhug		the roof	khɤxtɤmbro	kʰ ɤ x t ɤ m b r o					0			
7998	Japhug	root	the root	tɤ-zrɤm	t ɤ ◦ z r ɤ m	t ɤ ◦ z r ɤ m			根	225		根	
8002	Tangut	root	the root	dʑju²	dʑ j u ²				根	4157		根	
8051	Japhug		the rope	tɯmbri	t ɯ m b r i	- t ɯ m b r i			绳子	10164			
8104	Japhug		rotten (of fruits)	tsɣi	ts ɣ i				腐烂	0			
8157	Japhug	round	round	artɯm	a r t ɯ m	a r t ɯ m			圆	3770		圓	
8161	Tangut	round	round	low²	l o w ²				圆	403		圓	
8210	Japhug		to rub	pɕiz	pɕ i z			1	擦	0			
8263	Japhug		the salt	tsʰa	tsʰ a	) tsʰ a		tib[tsʰʷa]	盐	4160			
8316	Japhug	sand	the sand	qambɯt	q a m b ɯ t	) q a m b ɯ t			沙子	2415		沙	
8320	Tangut	sand	the sand	bẹ¹	b ẹ ¹				沙子	2415		沙	
8369	Japhug	say	to say	ti	t i				说	0		曰	
8373	Tangut	say	to say	.jɨ¹	j ɨ ¹				说	0		曰	
8422	Japhug		to scratch	rɤβraʁ	r ɤ β r a ʁ	( r ɤ - - - ) - - β r a ʁ - ( - - - - - - )			抓	2403			
8475	Japhug	see	to see	mto	m t o	( - - - - - - ) m t o - - ( - )			看见	2472		睹	
8479	Tangut	see	to see	ljij²	l j i j ²				看见	4162		睹	
8528	Japhug	seed	the seed	tɯ-rɣi	t ɯ ◦ r ɣ i	) t ɯ ◦ r ɣ i			种子	4165		種	
8581	Japhug		seven	kɯɕnɯz	k ɯ ɕ n ɯ z	( - - - k ɯ - ) ɕ - - - n - ɯ z - ( - - - - - )				55			
8634	Japhug		to sew	tʂɯβ	tʂ ɯ β				缝	0			
8687	Japhug		sharp	mtɕoʁ	m tɕ o ʁ	( - - - ) m tɕ o ʁ			锋利	992			
8740	Japhug		to shoot (an arrow)	tɯdi lɤt	t ɯ d i + l ɤ t	- - - - - - t ɯ d i + l ɤ t				2933			
8793	Japhug		short	xtɯt	x t ɯ t	- - x - - - - t ɯ - t - - - - - - ( - - - - - - - - - - - )			短	972			
8846	Japhug		the shoulder	tɯ-rpaʁ	t ɯ ◦ r p a ʁ	) t ɯ ◦ r p a ʁ				13			
8899	Japhug		shy	nɤzraʁ	n ɤ z r a ʁ	n ɤ z - - - r - a ʁ - - - - -				2478			
8952	Japhug		sick	ngo	n g o					0			
9005	Japhug		to sing	nɯrɤɣo	n ɯ r ɤ ɣ o	n ɯ r ɤ ɣ o			唱	3058			
9058	Japhug	sit	to sit	amdzɯ	a m d z ɯ				坐	0		坐	
9062	Tangut	sit	to sit	dzuu²	d z uu ²				坐	0		坐	
9111	Japhug		six	kɯtʂɤɣ	k ɯ tʂ ɤ ɣ	- - - - - - k ɯ - - - tʂ - ɤ - - ɣ - - - ( - )				306			
9164	Japhug	skin	the skin	tɯ-ndʐi	t ɯ ◦ ndʐ i	- t ɯ ◦ ndʐ i			皮肤	2473		皮	
9168	Tangut	skin	the skin	dʑjɨ¹	dʑ j ɨ ¹				皮肤	2473		皮	
9217	Japhug		the sky	tɯmɯ	t ɯ m ɯ	) t ɯ m ɯ			天空	499			
9270	Japhug	sleep	to sleep	nɯʑɯβ	n ɯ ʑ ɯ β	( n ɯ ) ʑ ɯ β - ( - - - - - - - - - - - - - - - - )			睡	2244		寢	
9274	Tangut	sleep	to sleep	.jɨ²	j ɨ ²				睡	2244		寢	
9323	Japhug	small	small	xtɕi	x tɕ i	( - - - - - - - ) x tɕ i ( - - )			小	440		小	
9327	Tangut	small	small	tsəj¹	ts ə j ¹				小	440		小	
9376	Japhug		to smell (perceive odor) [transitive]	nɤmnɤm	n ɤ m n ɤ m	( - - - - - - - - - - - - - - - n ɤ - - - - - - - - - - ) - - - m n ɤ m - ( - - - - - - - - )			闻	67			
9429	Japhug	smoke	the smoke	tɤkʰɯ	t ɤ kʰ ɯ	) t ɤ kʰ ɯ			烟	68		煙	
9433	Tangut	smoke	the smoke	ɣju¹	ɣ j u ¹				烟	68		煙	
9482	Japhug		smooth	mpɕu	m p ɕ u	( - - - - ) m p ɕ u - -			平	523			
9535	Japhug		the snake	qapri	q a p r i	- q a p r i			蛇	70			
9588	Japhug		the snow	tɤjpa	t ɤ j p a	) t ɤ j p a			雪	2372			
9641	Japhug		some	tsuku	ts u k u					0			
9694	Japhug		the spider	ɴɢoɕna	ɴɢ o ɕ n a	ɴɢ o ɕ n a				1756			
9747	Japhug		to spit	mciphɯt (lɤt)	m c i pʰ ɯ t _ l ɤ t )	- - - m c i pʰ ɯ t _ ( l ) ɤ t )			吐	3128			
9800	Japhug		to split	phaʁ	pʰ a ʁ				撕裂	0			
9853	Japhug		to squeeze	tɕɣaʁ	tɕ ɣ a ʁ				压	0			
9906	Japhug		to stab	sɤtsa	s ɤ ts a				刺	0			
9959	Japhug	stand	to stand	ndzur	ⁿdz u r	ⁿdz u r			站	3150		立	
9963	Tangut	stand	to stand	.jar¹	j a r ¹				站	2246		立	
10012	Japhug	star	the star	ʑŋgri	ʑ ŋg r i	- ʑ ŋg r i			星星	1073		星	
10016	Tangut	star	the star	gjịj¹	g j ị j ¹				星星	1073		星	
10065	Japhug		to steal	mɯrkɯ	m ɯ r k ɯ	) m ɯ r k ɯ				10464			
10118	Japhug		the stick	tɤɲi	t ɤ ɲ i	t ɤ ɲ i			棍子	3155			
10171	Japhug	stone	the stone (a piece of)	rdɤstaʁ	r d ɤ s t a ʁ	) r d ɤ s t a ʁ		tib[rdo]	石头	3156		石	
10175	Tangut	stone	the stone (a piece of)	lụ¹	l ụ ¹				石头	10582		石	
10224	Japhug		straight	astu	a s t u	( - - - a ) s t u			直	983			
10277	Japhug		to lick	nɯntsɯɣ	n ɯ n ts ɯ ɣ	n ɯ n ts ɯ ɣ			吮	3164			
10330	Japhug	sun	the sun	ʁmbɣi	ʁ mb ɣ i	ʁ mb ɣ i			太阳	3166		日	
10334	Tangut	sun	the sun	be²	b e ²				太阳	3166		日	
10383	Japhug		to swell	nɯɣmbɤβ	n ɯ ɣ m b ɤ β				肿	0			
