ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	COGID	ALIGNMENT	BORROWING	ID_IN_SOURCE	NOTE	SUBGROUP
4230	Geshiza	above	tɕʰa	tɕʰa	tɕʰ a		30	0	tɕʰ - a				Rgyalrongic
4313	Guanyinqiao Khroskyabs	above	tʰa⁵³	tʰa⁵³	tʰ ⁵³/a		8352	0	tʰ ⁵³/a				Rgyalrongic
4712	Njorogs Khroskyabs	above	ə³³rus⁵⁵	ə³³rus⁵⁵	³³/ə + r u ⁵⁵/s		45 53	0	- ³³/ə + r u ⁵⁵/s				Rgyalrongic
4713	Njorogs Khroskyabs	above	ə³³tʰa⁵³	ə³³tʰa⁵³	³³/ə + tʰ ⁵³/a		45 8352	0	- ³³/ə + tʰ ⁵³/a				Rgyalrongic
5196	Tshobdun	above	ʃə́ta	ʃə́ta	ʃ ə́/ə + t a		7706 33	0	ʃ ə́/ə + t - a -				Rgyalrongic
5506	Ngyaltsu Zbu	above	və-tɐ̂ʁ	və-tɐ̂ʁ	v ə + t ɐ̂/ɐ ʁ		45 33	0	v ə + t - ɐ̂/ɐ ʁ				Rgyalrongic
5831	Zlarong	above	wɔ55ti55	wɔ55ti55	w ⁵⁵/ɔ + t ⁵⁵/i		7705 33	0	w ⁵⁵/ɔ + t - ⁵⁵/i -				Chamdoic
5844	Kyomkyo Situ	above	tərka	tərka	t ə + r k a		31 27	0	t ə + r k - a				Rgyalrongic
6508	Mazur Stau	above	tɕʰjæ	tɕʰjæ	tɕʰ j æ		30	0	tɕʰ j æ				Rgyalrongic
6880	Yaoji Situ	above	a³³tar⁵⁵	a³³tar⁵⁵	a ³³ t a r ⁵⁵								Rgyalrongic
7378	Cogtse Situ	above	ata2	ata2	a t a 2								Rgyalrongic
7676	Njorogs Khroskyabs	above	ə³³tʰa⁵³	ə³³tʰa⁵³	ə ³³ tʰ a ⁵³								Rgyalrongic
7990	mBrongrdzon Khroskyabs	above	tʰæ	tʰæ	tʰ æ								Rgyalrongic
7991	mBrongrdzon Khroskyabs	above	mŋo	mŋo	m ŋ o								Rgyalrongic
8017	Bawang Horpa	above	tʃʰɐj	tʃʰɐj	t ʃʰ ɐ j								Rgyalrongic
8342	Situ in Jarongyiyu	above	spe	spe	s p e								Rgyalrongic
8485	Shimuliu Japhug	above	ʃoŋ-lɔ	ʃoŋ-lɔ	ʃ o ŋ l ɔ								Rgyalrongic
105	Bantawa	all	jamm@y	jamm@y	j a m m æ y		66	0	j a m m æ y				Kiranti
273	Stau	all	thəm tɕɛ	thəm tɕɛ	tʰ ə m + tɕ ɛ	_72 _8242	72 8242	3682	- tʰ ə m + tɕ ɛ -	tib	19256		rGyalrongic
543	Japhug	all	tʰamtɕɤt	tʰamtɕɤt	tʰ a m + tɕ ɤ t	_72 _8242	72 8242	3682	- tʰ a m + tɕ ɤ t	tib	101		rGyalrongic
544	Japhug	all	lonba	lonba	l o n b a	_87	87	1275	l o n b a	tib	25848		rGyalrongic
918	Tangut	all	zji¹	zji¹	z j ¹/i		77	0	z j ¹/i		105		Tangut
919	Tangut	all	rjur	rjur	r j u r		94	0	r j u r		38196		Tangut
1246	Wobzi Khroskyabs	all	pâ	pâ	p â/a		76	5037	p â/a -		31553		rGyalrongic
1541	Zhaba	all	jo³³dzo⁵⁵	jo³³dzo⁵⁵	j ³³/o dz ⁵⁵/o		84	4514	j ³³/o dz ⁵⁵/o		21749		Qiangic
1809	Mbarkhams Situ	all	kə tʃᴇt	kə tʃᴇt	k ə + tʃ ɛ t	73 _8242	73 8242	3969	k ə + tʃ ɛ t	tib?	17994		rGyalrongic
2055	Kangding Minyag	all	me³³me⁵⁵	me³³me⁵⁵	m ³³/e m ⁵⁵/e		74	0	m ³³/e - m ⁵⁵/e		21476		Qiangic
2553	Pengbuxi Minyag	all	2meme	2meme	m e m ²/e		74	0	m e - m ²/e				Qiangic
2626	Old Burmese	all	ʔa◦kun	ʔa◦kun	ʔ a + k u n		7784 78	3899	ʔ - a + k u n		31056		Burmish
2866	Xinlong Queyu	all	tə⁵⁵ɬye⁵⁵	tə⁵⁵ɬye⁵⁵	t ⁵⁵/ə + ɬ y ⁵⁵/e		8244 80	0	t ⁵⁵/ə + ɬ y ⁵⁵/e		20581		Qiangic
3270	Pubarong Queyu	all	tɕjalæ	tɕjalæ	tɕ j ā/a + l æ		8243 80	0	tɕ j ā/a + l æ				Qiangic
3390	Siyuewu Khroskyabs	all	tsʰôŋmu	tsʰôŋmu	tsʰ ô/o ŋ m u	_81	81	0	tsʰ ô/o ŋ m u	tib	38798		Rgyalrongic
3391	Siyuewu Khroskyabs	all	tʰæ̂mtɕʰæd	tʰæ̂mtɕʰæd	tʰ æ̂/æ m + tɕʰ æ d	_72 _8242	72 8242	0	- tʰ æ̂/æ m + tɕʰ æ d	tib	38799		Rgyalrongic
3392	Siyuewu Khroskyabs	all	ɕærɕæ̂r	ɕærɕæ̂r	ɕ æ r ɕ æ̂/æ r		93	0	ɕ æ r ɕ æ̂/æ r		38800		Rgyalrongic
3393	Siyuewu Khroskyabs	all	ftɕɑmɑ	ftɕɑmɑ	f tɕ ɑ m ɑ̂	_96	96	0	f tɕ ɑ m ɑ̂	tib	38801		Rgyalrongic
3394	Siyuewu Khroskyabs	all	tæ̂r	tæ̂r	t æ̂/æ r		91	0	- t æ̂/æ r - -		38802		Rgyalrongic
3395	Siyuewu Khroskyabs	all	mæ̂d	mæ̂d	m æ̂/æ d		74	0	m æ̂/æ d - -		38803		Rgyalrongic
3396	Siyuewu Khroskyabs	all	rlæ̂ʁ	rlæ̂ʁ	r l æ̂/æ ʁ		99	0	r l æ̂/æ ʁ		38804		Rgyalrongic
3707	Bragbar Situ	all	kəʑē	kəʑē	k ə ʑ ē/e		67	0	k ə ʑ ē/e				Rgyalrongic
3708	Bragbar Situ	all	stamtɕhāt	stamtɕhāt	s t a m + tɕʰ ā/a t	_72 _8242	72 8242	0	s t a m + tɕʰ ā/a t	tib			Rgyalrongic
4019	Geshiza	all	æqɛ	æqɛ	æ q ɛ		70	0	æ q ɛ				Rgyalrongic
4057	Geshiza	all	gru	gru	g r u		86	0	g r u				Rgyalrongic
4224	Geshiza	all	stæ	stæ	s t æ		91	0	s t æ - - -				Rgyalrongic
4234	Geshiza	all	tʰæmtɕæ	tʰæmtɕæ	tʰ æ m + tɕ æ	_72 _8242	72 8242	0	- tʰ æ m + tɕ æ -	tib			Rgyalrongic
4320	Guanyinqiao Khroskyabs	all	tɛ³³tə⁵⁵	tɛ³³tə⁵⁵	t ³³/ɛ t ⁵⁵/ə		91	0	- t ³³/ɛ - t ⁵⁵/ə				Rgyalrongic
4321	Guanyinqiao Khroskyabs	all	pɑ⁵³	pɑ⁵³	p ⁵³/ɑ		76	0	p ⁵³/ɑ -				Rgyalrongic
4322	Guanyinqiao Khroskyabs	all	xcʰə³³fcʰə⁵³	xcʰə³³fcʰə⁵³	x cçʰ ³³/ə f cçʰ ⁵³/ə		92	0	x cçʰ ³³/ə f cçʰ ⁵³/ə				Rgyalrongic
4675	Njorogs Khroskyabs	all	boq⁵⁵	boq⁵⁵	b ⁵⁵/o q		76	0	b ⁵⁵/o q				Rgyalrongic
4956	Njorogs Khroskyabs	all	vde³³vde⁵³	vde³³vde⁵³	v d ³³/e v d ⁵³/e		89	0	v d ³³/e - v d ⁵³/e				Rgyalrongic
5053	Tshobdun	all	mɐ́lɐj	mɐ́lɐj	m ɐ́/ɐ l ɐ j		82	0	m ɐ́/ɐ l ɐ j				Rgyalrongic
5055	Tshobdun	all	mdiʔ	mdiʔ	m d i ʔ		89	0	m d i ʔ - - -				Rgyalrongic
5220	Tshobdun	all	tʰɐmtʃet	tʰɐmtʃet	tʰ ɐ m + tʃ e t	_72	72 8242	0	- tʰ ɐ m + tʃ e t	tib			Rgyalrongic
5442	Ngyaltsu Zbu	all	rwoʁrwóʁʔ	rwoʁrwóʁʔ	r w o ʁ r w ó/o ʁ ʔ		75	0	r w o ʁ r w ó/o ʁ ʔ				Rgyalrongic
5491	Ngyaltsu Zbu	all	thɐmɐrɐmtɕét	thɐmɐrɐmtɕét	tʰ ɐ m + ɐ r ɐ m + tɕ é/e t	_72 _8242	72 8517 8242	0	- tʰ ɐ m + ɐ r ɐ m + tɕ é/e t	tib?			Rgyalrongic
5845	Kyomkyo Situ	all	kəʒu	kəʒu	k ə ʒ u		8518	0	k ə ʒ u				Rgyalrongic
5846	Kyomkyo Situ	all	pok	pok	p o k		76	0	p o k				Rgyalrongic
6509	Mazur Stau	all	χsəmbə	χsəmbə	χ s ə m b ə		7930	0					Rgyalrongic
6956	Yaoji Situ	all	kə³³tʃe⁵⁵	kə³³tʃe⁵⁵	k ə ³³ t ʃ e ⁵⁵								Rgyalrongic
7142	Cogtse Situ	all	kə-tʃet	kə-tʃet	k ə t ʃ e t								Rgyalrongic
7417	Njorogs Khroskyabs	all	vde³³vde⁵⁵	vde³³vde⁵⁵	v d e ³³ v d e ⁵⁵								Rgyalrongic
7757	mBrongrdzon Khroskyabs	all	pa	pa	p a								Rgyalrongic
8018	Bawang Horpa	all	ɐqəw	ɐqəw	ɐ q ə w								Rgyalrongic
8019	Bawang Horpa	all	stɐ	stɐ	s t ɐ								Rgyalrongic
8343	Situ in Jarongyiyu	all	na-ʑuɦ	na-ʑuɦ	n a ʑ u ɦ								Rgyalrongic
8486	Shimuliu Japhug	all	kə-kutu	kə-kutu	k ə k u t u								Rgyalrongic
8487	Shimuliu Japhug	all	tʃʰo-rəl	tʃʰo-rəl	t ʃʰ o r ə l								Rgyalrongic
6510	Mazur Stau	and	reɡɛ	reɡɛ	r e ɡ ɛ		0	0					Rgyalrongic
102	Bantawa	bad	ɨma (ɨsa)	ɨma (ɨsa)	ɨ m a + ɨ s a		111 112	0	ɨ m a + ɨ s a				Kiranti
104	Bantawa	bad	ɨssawa	ɨssawa	ɨ s s a w a		126	0	ɨ s s a w a				Kiranti
274	Stau	bad	qhə mɛ	qhə mɛ	qʰ ə m ɛ		114	1271	qʰ ə m ɛ		18948		rGyalrongic
545	Japhug	bad	ŋɤn	ŋɤn	ŋ ɤ n	_113	113	245	ŋ ɤ n	tib	313		rGyalrongic
920	Tangut	bad	niow	niow	n i o w		123	10179	n i o w		38078		Tangut
1247	Wobzi Khroskyabs	bad	mə-tsʰâ	mə-tsʰâ	m ə + tsʰ â/a		7782 121	3733	m ə + tsʰ â/a		31556		rGyalrongic
1542	Zhaba	bad	ʂtʂu⁵⁵tʂu³³	ʂtʂu⁵⁵tʂu³³	ʂ ʈʂ ⁵⁵/u ʈʂ ³³/u		124	2303	ʂ ʈʂ ⁵⁵/u ʈʂ ³³/u		21824		Qiangic
1810	Mbarkhams Situ	bad	mɑ kə snɑ	mɑ kə snɑ	m ɑ + k ə + s n ɑ		7782 7781 116	999	m ɑ + k ə + s n ɑ		18052		rGyalrongic
2056	Kangding Minyag	bad	tsho⁵⁵βə⁵³	tsho⁵⁵βə⁵³	tsʰ ⁵⁵/o β ⁵³/ə		118	0	tsʰ ⁵⁵/o β ⁵³/ə		22519		Qiangic
2347	Pengbuxi Minyag	bad	1kætɕhæ	1kætɕhæ	k æ̙/æ tɕʰ ¹/æ		117	0	k æ̙/æ tɕʰ ¹/æ				Qiangic
2627	Old Burmese	bad	chuiwḥ	chuiwḥ	cʰ u i w ɦ		120	1044	cʰ u i w ɦ		31057		Burmish
2867	Xinlong Queyu	bad	qa⁵⁵stsue⁵⁵	qa⁵⁵stsue⁵⁵	q ⁵⁵/a s ts u ⁵⁵/e		122	0	q ⁵⁵/a s ts u ⁵⁵/e		20650		Qiangic
3271	Pubarong Queyu	bad	mæ-tɕʰi	mæ-tɕʰi	m æ + tɕʰ i		7782 7783	0	m æ + tɕʰ i				Qiangic
3397	Siyuewu Khroskyabs	bad	ŋə̂n	ŋə̂n	ŋ ə̂/ə n	_113	113	0	ŋ ə̂/ə n	tib	38806		Rgyalrongic
3709	Bragbar Situ	bad	ŋân	ŋân	ŋ â/a n	_113	113	0	ŋ â/a n	tib			Rgyalrongic
4160	Geshiza	bad	qʰi	qʰi	qʰ i		114	0	qʰ i - -				Rgyalrongic
4323	Guanyinqiao Khroskyabs	bad	ŋən⁵³	ŋən⁵³	ŋ ⁵³/ə n	_113	113	0	ŋ ⁵³/ə n	tib			Rgyalrongic
4761	Njorogs Khroskyabs	bad	ma³³la⁵⁵	ma³³la⁵⁵	m ³³/a + l ⁵⁵/a		7782 7779	0	m ³³/a + l ⁵⁵/a				Rgyalrongic
5100	Tshobdun	bad	ŋɐn	ŋɐn	ŋ ɐ n	_113	113	0	ŋ ɐ n	tib			Rgyalrongic
5385	Ngyaltsu Zbu	bad	kə-ŋɐ̂n	kə-ŋɐ̂n	k ə + ŋ ɐ̂/ɐ n	7781 _113	7781 113	0	k ə + ŋ ɐ̂/ɐ n	tib			Rgyalrongic
5595	Zlarong	bad	æ31wæ55	æ31wæ55	³¹/æ w ⁵⁵/æ		125	0	³¹/æ w ⁵⁵/æ				Chamdoic
5662	Zlarong	bad	mu31lɔ55wu31	mu31lɔ55wu31	m ³¹/u + l ⁵⁵/ɔ + w ³¹/u		7782 7779 7780	0	m ³¹/u + l ⁵⁵/ɔ + w ³¹/u				Chamdoic
5847	Kyomkyo Situ	bad	kəŋan	kəŋan	k ə + ŋ a n	7781 _113	7781 113	0	k ə + ŋ a n	tib			Rgyalrongic
6511	Mazur Stau	bad	qʰəmæ	qʰəmæ	qʰ ə m æ		114	0	qʰ ə m æ				Rgyalrongic
6964	Yaoji Situ	bad	kə⁵⁵jlias⁵⁵	kə⁵⁵jlias⁵⁵	k ə ⁵⁵ j l ia s ⁵⁵								Rgyalrongic
7279	Cogtse Situ	bad	ma kǝ-haw	ma_kǝ-haw	m a _ k ǝ h a w								Rgyalrongic
7567	Njorogs Khroskyabs	bad	ma³³la⁵⁵	ma³³la⁵⁵	m a ³³ l a ⁵⁵					situ			Rgyalrongic
7755	mBrongrdzon Khroskyabs	bad	ŋən	ŋən	ŋ ə n					Tib. ŋan			Rgyalrongic
8020	Bawang Horpa	bad	qʰe	qʰe	qʰ e								Rgyalrongic
8488	Shimuliu Japhug	bad	ma-kə-pɐj	ma-kə-pɐj	m a k ə p ɐ j								Rgyalrongic
8489	Shimuliu Japhug	bad	ma-kə-sna	ma-kə-sna	m a k ə s n a								Rgyalrongic
4	Bantawa	before	attʰu	attʰu	a t tʰ u		145	0	a t tʰ u				Kiranti
546	Japhug	before	ɯ-ʁɤri	ɯ-ʁɤri	ɯ + ʁ ɤ + r i		7649 7635 7634	0	- ɯ + ʁ ɤ + r - i -		25819		rGyalrongic
1188	Tangut	before	ɕji¹	ɕji¹	ɕ j ¹/i		7670	0	ɕ j ¹/i				Tangut
1220	Tangut	before	rjir²	rjir²	r j i ²/r		7634	0	r j i ²/r				Tangut
1482	Wobzi Khroskyabs	before	dʑə́ɣ	dʑə́ɣ	dʑ ə́/ə + ɣ		7642 8343	0	dʑ ə́/ə + ɣ				rGyalrongic
2543	Pengbuxi Minyag	before	2kɛxʌ	2kɛxʌ	k ɛ x ²/ʌ		7640	0	k ɛ x ²/ʌ				Qiangic
3272	Pubarong Queyu	before	ŋgwə	ŋgwə	ŋ g w ə		7639	0	ŋ g w ə				Qiangic
3398	Siyuewu Khroskyabs	before	redʑəɣ	redʑəɣ	r e + dʑ ə + ɣ		7634 7642 8343	0	r - e - + dʑ ə + ɣ		38807		Rgyalrongic
3710	Bragbar Situ	before	kâj	kâj	k â/a j		7641	0	k â/a j				Rgyalrongic
4149	Geshiza	before	ŋui	ŋui	ŋ u i	_7643	7643	29791	ŋ u i	tib?			Rgyalrongic
4324	Guanyinqiao Khroskyabs	before	ə³³dʑə⁵⁵	ə³³dʑə⁵⁵	³³/ə + dʑ ⁵⁵/ə		7649 7642	0	- ³³/ə + dʑ ⁵⁵/ə				Rgyalrongic
4925	Njorogs Khroskyabs	before	so³³dʑi⁵⁵	so³³dʑi⁵⁵	s ³³/o + dʑ ⁵⁵/i		7644 7642	0	s ³³/o + dʑ ⁵⁵/i				Rgyalrongic
5008	Tshobdun	before	cʰeʔ	cʰeʔ	cʰ e ʔ		7672	0	- cʰ e ʔ				Rgyalrongic
5200	Tshobdun	before	ʃóxte	ʃóxte	ʃ ó/o x t e		7645	0	ʃ ó/o x t e				Rgyalrongic
5493	Ngyaltsu Zbu	before	tsɐnɐ́mʔ	tsɐnɐ́mʔ	ts ɐ n ɐ́/ɐ m ʔ		7646	0	ts ɐ n ɐ́/ɐ m ʔ				Rgyalrongic
5519	Ngyaltsu Zbu	before	və-ʁuri	və-ʁuri	v ə + ʁ u + r î/i		7649 7635 7634	0	v ə + ʁ u + r - î/i -				Rgyalrongic
5724	Zlarong	before	ŋɡu55rɨ31	ŋɡu55rɨ31	ŋ g ⁵⁵/u + r ³¹/ɨ		7671 7634	0	ŋ g ⁵⁵/u + r - ³¹/ɨ -				Chamdoic
5848	Kyomkyo Situ	before	kəsce	kəsce	k ə + s c e		7647 7672	0	k ə + s c e -				Rgyalrongic
5849	Kyomkyo Situ	before	wakaj	wakaj	w a + k a j		7649 7641	0	w a + k a j				Rgyalrongic
6512	Mazur Stau	before	ŋə	ŋə	ŋ ə	_7643	7643	29791	ŋ ə -	tib?			Rgyalrongic
7387	Cogtse Situ	before	wɐ-kɐ̂j	wɐ-kɐ̂j	w ɐ k ɐ̂ j								Rgyalrongic
7718	mBrongrdzon Khroskyabs	before	dʒədʒəʔ	dʒədʒəʔ	d ʒ ə d ʒ ə ʔ								Rgyalrongic
8021	Bawang Horpa	before	ŋwi	ŋwi	ŋ w i								Rgyalrongic
8490	Shimuliu Japhug	before	kh-ʃəj-ⁿgu	kh-ʃəj-ⁿgu	k h ʃ ə j ⁿg u								Rgyalrongic
92	Bantawa	below, under	hyu	hyu	h !y/j u		169	0	h y u				Kiranti
276	Stau	below, under	nə nkhvɛ	nə nkhvɛ	n ə + n kʰ v ɛ		170 171	10180	n ə + n kʰ v ɛ		19110		rGyalrongic
547	Japhug	below, under	ɯ-pa	ɯ-pa	ɯ + p a		174 179	396	- ɯ + p a -		525		rGyalrongic
921	Tangut	below, under	khju	khju	kʰ j u		7907	10180	kʰ j u		38146		Tangut
1248	Wobzi Khroskyabs	below, under	vi	vi	v i		179	396	v i -		31561		rGyalrongic
1543	Zhaba	below, under	ɑ¹³tshɿ³³	ɑ¹³tshɿ³³	¹³/ɑ tsʰ ³³/ɿ		173	2263	¹³/ɑ tsʰ ³³/ɿ		21604		Qiangic
1811	Mbarkhams Situ	below, under	wu spoi	wu spoi	w u + s p o i		174 178	930	w u + s p o - - i		17866		rGyalrongic
2057	Kangding Minyag	below, under	mɐ̃³³tɕhø⁵³	mɐ̃³³tɕhø⁵³	m ³³/ɐ̃ tɕʰ ⁵³/ø		180	0	- - m ³³/ɐ̃ - tɕʰ ⁵³/ø		19044		Qiangic
2058	Kangding Minyag	below, under	nɑ³³to²⁴	nɑ³³to²⁴	n ³³/ɑ t ²⁴/o		187	0	n ³³/ɑ t ²⁴/o		22828		Qiangic
2509	Pengbuxi Minyag	below, under	1væ	1væ	v ¹/æ		179	0	v ¹/æ -				Qiangic
2628	Old Burmese	below, under	ʔo₂k	ʔo₂k	ʔ ²/o k		7906	1260	ʔ ²/o k		31058		Burmish
2868	Xinlong Queyu	below, under	me¹³ntɕhə⁵⁵	me¹³ntɕhə⁵⁵	m ¹³/e n tɕʰ ⁵⁵/ə		180	0	- - m ¹³/e n tɕʰ ⁵⁵/ə		20421		Qiangic
3231	Pubarong Queyu	below, under	wə	wə	w ə		179	0	w ə -				Qiangic
3399	Siyuewu Khroskyabs	below, under	vi	vi	v í/i		179	0	v í/i -		38808		Rgyalrongic
3711	Bragbar Situ	below, under	nō	nō	n ō/o		170	0	n ō/o				Rgyalrongic
3712	Bragbar Situ	below, under	spōk	spōk	s p ō/o k		178	0	s p ō/o - k -				Rgyalrongic
3713	Bragbar Situ	below, under	a-vi	a-vi	a + v ī/i		189 179	0	a + v ī/i				Rgyalrongic
3714	Bragbar Situ	below, under	a-və̂	a-və̂	a + v ə̂/ə		189 179	0	a + v ?ə̂/ə -				Rgyalrongic
4068	Geshiza	below, under	kʰætɕʰi	kʰætɕʰi	kʰ æ tɕʰ i		180	0	kʰ æ - - - tɕʰ i				Rgyalrongic
4266	Geshiza	below, under	və	və	v ə		179	0	v ə -				Rgyalrongic
4325	Guanyinqiao Khroskyabs	below, under	ə³³qe⁵³	ə³³qe⁵³	³³/ə + q ⁵³/e		173 7905	0	³³/ə + q ⁵³/e				Rgyalrongic
4326	Guanyinqiao Khroskyabs	below, under	ə³³cʰu⁵³	ə³³cʰu⁵³	³³/ə + cçʰ ⁵³/u		173 7907	0	³³/ə + cçʰ - ⁵³/u				Rgyalrongic
