ID	CONCEPT	CHINESE	VALUE	FORM	GLOSS_IN_SOURCE	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	the sea	海	rgʲa-mtsʰo					Tib. rgʲa.mtsʰo			
	the seed	种子									
	the sheep	绵羊	ku-swoɦ								
	the shit	屎									
	the shoulder	肩膀									
	the sickle	镰刀									
	the skin	皮	ti-sgri								
	the sky	天	tu-mu								
	the smoke	烟	ta-ku								
	the snake	蛇									
	the snow	雪	dad-spag								
	the son	儿子	ti-tsa								
	the sparrow	麻雀									
	the spider	蜘蛛									
	the star	星星	tsuɦu-ri								
	the stick	棍子									
	the stone (a piece of)	石头	kʰu								
	the string	细绳									
	the sun	太阳	ki-ni								
	the tail	尾巴									
	the thigh	大腿									
	the thunder	雷	ti-tse								
	the tiger	老虎	kʰuŋ								
	the tongue	舌头	ti-ɕe-me								
	the tooth (front)	牙齿	tis-wa								
	the tree	树	dur-kʰur								
	the water	水	ti-tɕʰu								
	the wheat	小麦									
	the wife	妻子	wog-tsi								
	the wind	风	kʰa-le								
	the wing	翅膀									
	the wolf	狼	spja-ku					Tib. spʲaŋ.ku			
	the woman	女人、女性	wa-slom								
	the wood (material)	木头	ɕeŋ					Tib. ɕiŋ			
	the work	工作									
	the worm	虫									
	the year	年	ta-paɦ								
	there	那里									
	thick	厚	ki-jjag								
	thin (object)	薄	ki-wa								
	thou [second person singular]	你	ni-jo								
	three	三	ki-bsam								
	to be alive	（动物）活了									
	to bite	（人）咬									
	to blow (of wind)	吹（灰）									
	to breathe	喘气									
	to burn [intransitive]	燃烧									
	to burn [transitive]	烧（香）									
	to buy	买									
	to chew	嚼									
	to choose	挑选									
	to climb	爬（树）									
	to come	来	ki-pon								
	to cook	煮									
	to count	数（数）									
	to cry (weep)	哭									
	to cry (weep)	哭泣									
	to cut	剪									
	to die	死									
	to dig	掘									
	to drink	喝									
	to eat	吃	ka-za								
	to fall	摔（下来）									
	to fall	倒									
	to fear (be afraid)	害怕									
	to fight	打架、打仗									
	to float	浮									
	to flow	（水）流									
	to fly (move through air)	飞	ki-jom								
	to forget	忘记									
	to freeze (intransitive)	冻	nar-ʑam								
	to give	送给									
	to grow	生长									
	to grow high	长高									
	to hear	听见									
	to hide (conceal)	藏	ka-ɕo								
	to hit	打（人）	ka-tob								
	to hold	握	ki-ɦdres								
	to hold	握	ka-ɕab								
	to hold tightly	握紧									
	to hunt	打猎									
	to kill	杀（人）									
	to knead	揉（面）									
	to know	知道	na-mi-si								
	to laugh	笑	ki-na-roms								
	to learn	学（文化）									
	to lick	舔									
	to lie down	躺									
	to marry (a man marries a woman)	娶									
	to open	打开									
	to plant (vegetals, rice)	种（菜）									
	to play	玩、耍									
	to pull	拉									
	to push	推									
	to reside (live)	居住									
	to rub	擦									
	to run	跑									
	to say	讲（一般意义上的说话）	ka-rtsiŋ								
	to scratch	挠（痒）									
	to see	看见	mu-to								
	to sew	缝									
	to shoot (an arrow)	射（箭）									
	to sing	唱歌									
	to sit	坐	ki-mdzu								
	to sleep	睡									
	to smell (perceive odor) [transitive]	闻、嗅									
	to sow (broadcast, scatter seeds)	下种									
	to spit	吐（痰）									
	to split	劈（柴）									
	to squeeze	挤（牙膏）									
	to stab	刺									
	to stand	站立	dus-war-si								
	to steal	偷	ki-ɕig-moŋ								
	to swell	肿、胀									
	to swim	游泳、（鱼）游									
	to think (reflect)	想（去）	se-sjo								
	to throw	扔									
	to tie (together)	绑									
	to turn (around)	转回、转身									
	to vomit	呕吐									
	to vomit; throw up	呕吐									
	to walk	走路	kuɦu-rdʑe								
	to wash	洗									
	to wipe	擦									
	to yawn	打呵欠									
	today	今天	bu-ɕin-lin								
	tomorrow	明天	swo								
	twenty	二十									
	two	二	ki-ni								
	warm (hot)	暖和	sa-log								
	warm (hot)	暖和	ki-rman								
	wet	湿									
	what	什么									
	where	哪里									
	white	白	ki-brom								
	who	谁	si-ko								
	wide	宽									
	yellow	黄	ki-naɦi								
	yesterday	昨天									
	young	年轻									
