ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS
2771	XinlongQueyu	above	je¹³ntɕhə⁵⁵	je¹³ntɕhə⁵⁵	j ¹³/e n + tɕʰ ⁵⁵/ə		38 30
3049	PubarongQueyu	above	kʰo	kʰo	kʰ ō/o		29
3292	SiyuewuKhroskyabs	above	tʰɑ	tʰɑ	tʰ ɑ		8352
3605	BragbarSitu	above	rkiɛ̂	rkiɛ̂	r k i ɛ̂/ɛ		27
3606	BragbarSitu	above	ta-tō	ta-tō	t a + t ō/o		31 33
3607	BragbarSitu	above	a-tiɛ̄	a-tiɛ̄	a + t i ɛ̄/ɛ		45 33
4125	Geshiza	above	tɕʰa	tɕʰa	tɕʰ a		30
4208	GuanyinqiaoKhroskyabs	above	tʰa⁵³	tʰa⁵³	tʰ ⁵³/a		8352
4584	NjorogsKhroskyabs	above	ə³³rus⁵⁵	ə³³rus⁵⁵	³³/ə + r u ⁵⁵/s		45 53
4585	NjorogsKhroskyabs	above	ə³³tʰa⁵³	ə³³tʰa⁵³	³³/ə + tʰ ⁵³/a		45 8352
5053	Tshobdun	above	ʃə́ta	ʃə́ta	ʃ ə́/ə + t a		7706 33
5357	NgyaltsuZbu	above	və-tɐ̂ʁ	və-tɐ̂ʁ	v ə + t ɐ̂/ɐ ʁ		45 33
5678	Zlarong	above	wɔ55ti55	wɔ55ti55	w ⁵⁵/ɔ + t ⁵⁵/i		7705 33
5690	KyomkyoSitu	above	tərka	tərka	t ə + r k a		31 27
5967	MazurStau	above	tɕʰjæ	tɕʰjæ	tɕʰ j æ		30
104	Bantawa	all	jamm@y	jamm@y	j a m m æ y		66
270	Stau	all	thəm tɕɛ	thəm tɕɛ	tʰ ə m + tɕ ɛ		72 8242
522	Japhug	all	tʰamtɕɤt	tʰamtɕɤt	tʰ a m + tɕ ɤ t		72 8242
523	Japhug	all	lonba	lonba	l o n b a		87
862	Tangut	all	zji¹	zji¹	z j ¹/i		77
863	Tangut	all	rjur	rjur	r j u r		94
1176	WobziKhroskyabs	all	pâ	pâ	p â/a		76
1471	Zhaba	all	jo³³dzo⁵⁵	jo³³dzo⁵⁵	j ³³/o dz ⁵⁵/o		84
1728	MbarkhamsSitu	all	kə tʃᴇt	kə tʃᴇt	k ə + tʃ ɛ t		73 8242
1973	KangdingMinyag	all	me³³me⁵⁵	me³³me⁵⁵	m ³³/e m ⁵⁵/e		74
2462	PengbuxiMinyag	all	2meme	2meme	m e m ²/e		74
2532	OldBurmese	all	ʔa◦kun	ʔa◦kun	ʔ a + k u n		7784 78
2772	XinlongQueyu	all	tə⁵⁵ɬye⁵⁵	tə⁵⁵ɬye⁵⁵	t ⁵⁵/ə + ɬ y ⁵⁵/e		8244 80
3174	PubarongQueyu	all	tɕjalæ	tɕjalæ	tɕ j ā/a + l æ		8243 80
3293	SiyuewuKhroskyabs	all	tsʰôŋmu	tsʰôŋmu	tsʰ ô/o ŋ m u		81
3294	SiyuewuKhroskyabs	all	tʰæ̂mtɕʰæd	tʰæ̂mtɕʰæd	tʰ æ̂/æ m + tɕʰ æ d		72 8242
3295	SiyuewuKhroskyabs	all	ɕærɕæ̂r	ɕærɕæ̂r	ɕ æ r ɕ æ̂/æ r		93
3296	SiyuewuKhroskyabs	all	ftɕɑmɑ	ftɕɑmɑ	f tɕ ɑ m ɑ̂		96
3297	SiyuewuKhroskyabs	all	tæ̂r	tæ̂r	t æ̂/æ r		91
3298	SiyuewuKhroskyabs	all	mæ̂d	mæ̂d	m æ̂/æ d		74
3299	SiyuewuKhroskyabs	all	rlæ̂ʁ	rlæ̂ʁ	r l æ̂/æ ʁ		99
3608	BragbarSitu	all	kəʑē	kəʑē	k ə ʑ ē/e		67
3609	BragbarSitu	all	stamtɕhāt	stamtɕhāt	s t a m + tɕʰ ā/a t		72 8242
3917	Geshiza	all	æqɛ	æqɛ	æ q ɛ		70
3955	Geshiza	all	gru	gru	g r u		86
4119	Geshiza	all	stæ	stæ	s t æ		91
4129	Geshiza	all	tʰæmtɕæ	tʰæmtɕæ	tʰ æ m + tɕ æ		72 8242
4209	GuanyinqiaoKhroskyabs	all	tɛ³³tə⁵⁵	tɛ³³tə⁵⁵	t ³³/ɛ t ⁵⁵/ə		91
4210	GuanyinqiaoKhroskyabs	all	pɑ⁵³	pɑ⁵³	p ⁵³/ɑ		76
4211	GuanyinqiaoKhroskyabs	all	xcʰə³³fcʰə⁵³	xcʰə³³fcʰə⁵³	x cçʰ ³³/ə f cçʰ ⁵³/ə		92
4549	NjorogsKhroskyabs	all	boq⁵⁵	boq⁵⁵	b ⁵⁵/o q		76
4823	NjorogsKhroskyabs	all	vde³³vde⁵³	vde³³vde⁵³	v d ³³/e v d ⁵³/e		89
4913	Tshobdun	all	mɐ́lɐj	mɐ́lɐj	m ɐ́/ɐ l ɐ j		82
4915	Tshobdun	all	mdiʔ	mdiʔ	m d i ʔ		89
5075	Tshobdun	all	tʰɐmtʃet	tʰɐmtʃet	tʰ ɐ m + tʃ e t		72 8242
5293	NgyaltsuZbu	all	rwoʁrwóʁʔ	rwoʁrwóʁʔ	r w o ʁ r w ó/o ʁ ʔ		75
5342	NgyaltsuZbu	all	thɐmɐrɐmtɕét	thɐmɐrɐmtɕét	tʰ ɐ m + ɐ r ɐ m + tɕ é/e t		72 8517 8242
5691	KyomkyoSitu	all	kəʒu	kəʒu	k ə ʒ u		8518
5692	KyomkyoSitu	all	pok	pok	p o k		76
5968	MazurStau	all	χsəmbə	χsəmbə	χ s ə m b ə		7930
101	Bantawa	bad	ɨma (ɨsa)	ɨma (ɨsa)	ɨ m a + ɨ s a		111 112
103	Bantawa	bad	ɨssawa	ɨssawa	ɨ s s a w a		126
271	Stau	bad	qhə mɛ	qhə mɛ	qʰ ə m ɛ		114
524	Japhug	bad	ŋɤn	ŋɤn	ŋ ɤ n		113
864	Tangut	bad	niow	niow	n i o w		123
1177	WobziKhroskyabs	bad	mə-tsʰâ	mə-tsʰâ	m ə + tsʰ â/a		7782 121
1472	Zhaba	bad	ʂtʂu⁵⁵tʂu³³	ʂtʂu⁵⁵tʂu³³	ʂ ʈʂ ⁵⁵/u ʈʂ ³³/u		124
1729	MbarkhamsSitu	bad	mɑ kə snɑ	mɑ kə snɑ	m ɑ + k ə + s n ɑ		7782 7781 116
1974	KangdingMinyag	bad	tsho⁵⁵βə⁵³	tsho⁵⁵βə⁵³	tsʰ ⁵⁵/o β ⁵³/ə		118
2259	PengbuxiMinyag	bad	1kætɕhæ	1kætɕhæ	k æ̙/æ tɕʰ ¹/æ		117
2533	OldBurmese	bad	chuiwḥ	chuiwḥ	cʰ u i w ɦ		120
2773	XinlongQueyu	bad	qa⁵⁵stsue⁵⁵	qa⁵⁵stsue⁵⁵	q ⁵⁵/a s ts u ⁵⁵/e		122
3175	PubarongQueyu	bad	mæ-tɕʰi	mæ-tɕʰi	m æ + tɕʰ i		7782 7783
3300	SiyuewuKhroskyabs	bad	ŋə̂n	ŋə̂n	ŋ ə̂/ə n		113
3610	BragbarSitu	bad	ŋân	ŋân	ŋ â/a n		113
4057	Geshiza	bad	qʰi	qʰi	qʰ i		114
4212	GuanyinqiaoKhroskyabs	bad	ŋən⁵³	ŋən⁵³	ŋ ⁵³/ə n		113
4632	NjorogsKhroskyabs	bad	ma³³la⁵⁵	ma³³la⁵⁵	m ³³/a + l ⁵⁵/a		7782 7779
4958	Tshobdun	bad	ŋɐn	ŋɐn	ŋ ɐ n		113
5236	NgyaltsuZbu	bad	kə-ŋɐ̂n	kə-ŋɐ̂n	k ə + ŋ ɐ̂/ɐ n		7781 113
5445	Zlarong	bad	æ31wæ55	æ31wæ55	³¹/æ w ⁵⁵/æ		125
5510	Zlarong	bad	mu31lɔ55wu31	mu31lɔ55wu31	m ³¹/u + l ⁵⁵/ɔ + w ³¹/u		7782 7779 7780
5693	KyomkyoSitu	bad	kəŋan	kəŋan	k ə + ŋ a n		7781 113
5969	MazurStau	bad	qʰəmæ	qʰəmæ	qʰ ə m æ		114
4	Bantawa	before	attʰu	attʰu	a t tʰ u		145
525	Japhug	before	ɯ-ʁɤri	ɯ-ʁɤri	ɯ + ʁ ɤ + r i		7649 7635 7634
1123	Tangut	before	ɕji¹	ɕji¹	ɕ j ¹/i		7670
1151	Tangut	before	rjir²	rjir²	r j i ²/r		7634
1412	WobziKhroskyabs	before	dʑə́ɣ	dʑə́ɣ	dʑ ə́/ə + ɣ		7642 8343
2453	PengbuxiMinyag	before	2kɛxʌ	2kɛxʌ	k ɛ x ²/ʌ		7640
3176	PubarongQueyu	before	ŋgwə	ŋgwə	ŋ g w ə		7639
3301	SiyuewuKhroskyabs	before	redʑəɣ	redʑəɣ	r e + dʑ ə + ɣ		7634 7642 8343
3611	BragbarSitu	before	kâj	kâj	k â/a j		7641
4047	Geshiza	before	ŋui	ŋui	ŋ u i		7643
4213	GuanyinqiaoKhroskyabs	before	ə³³dʑə⁵⁵	ə³³dʑə⁵⁵	³³/ə + dʑ ⁵⁵/ə		7649 7642
4793	NjorogsKhroskyabs	before	so³³dʑi⁵⁵	so³³dʑi⁵⁵	s ³³/o + dʑ ⁵⁵/i		7644 7642
4872	Tshobdun	before	cʰeʔ	cʰeʔ	cʰ e ʔ		7672
5057	Tshobdun	before	ʃóxte	ʃóxte	ʃ ó/o x t e		7645
5344	NgyaltsuZbu	before	tsɐnɐ́mʔ	tsɐnɐ́mʔ	ts ɐ n ɐ́/ɐ m ʔ		7646
5370	NgyaltsuZbu	before	və-ʁuri	və-ʁuri	v ə + ʁ u + r î/i		7649 7635 7634
5571	Zlarong	before	ŋɡu55rɨ31	ŋɡu55rɨ31	ŋ g ⁵⁵/u + r ³¹/ɨ		7671 7634
5694	KyomkyoSitu	before	kəsce	kəsce	k ə + s c e		7647 7672
5695	KyomkyoSitu	before	wakaj	wakaj	w a + k a j		7649 7641
5970	MazurStau	before	ŋə	ŋə	ŋ ə		7643
92	Bantawa	below, under	hyu	hyu	h !y/j u		169
272	Stau	below, under	nə nkhvɛ	nə nkhvɛ	n ə + n kʰ v ɛ		170 171
526	Japhug	below, under	ɯ-pa	ɯ-pa	ɯ + p a		174 179
865	Tangut	below, under	khju	khju	kʰ j u		7907
1178	WobziKhroskyabs	below, under	vi	vi	v i		179
1473	Zhaba	below, under	ɑ¹³tshɿ³³	ɑ¹³tshɿ³³	¹³/ɑ tsʰ ³³/ɿ		173
1730	MbarkhamsSitu	below, under	wu spoi	wu spoi	w u + s p o i		174 178
1975	KangdingMinyag	below, under	mɐ̃³³tɕhø⁵³	mɐ̃³³tɕhø⁵³	m ³³/ɐ̃ tɕʰ ⁵³/ø		180
1976	KangdingMinyag	below, under	nɑ³³to²⁴	nɑ³³to²⁴	n ³³/ɑ t ²⁴/o		187
2419	PengbuxiMinyag	below, under	1væ	1væ	v ¹/æ		179
2534	OldBurmese	below, under	ʔo₂k	ʔo₂k	ʔ ²/o k		7906
2774	XinlongQueyu	below, under	me¹³ntɕhə⁵⁵	me¹³ntɕhə⁵⁵	m ¹³/e n tɕʰ ⁵⁵/ə		180
3135	PubarongQueyu	below, under	wə	wə	w ə		179
3302	SiyuewuKhroskyabs	below, under	vi	vi	v í/i		179
3612	BragbarSitu	below, under	nō	nō	n ō/o		170
3613	BragbarSitu	below, under	spōk	spōk	s p ō/o k		178
3614	BragbarSitu	below, under	a-vi	a-vi	a + v ī/i		189 179
3615	BragbarSitu	below, under	a-və̂	a-və̂	a + v ə̂/ə		189 179
3966	Geshiza	below, under	kʰætɕʰi	kʰætɕʰi	kʰ æ tɕʰ i		180
4161	Geshiza	below, under	və	və	v ə		179
4214	GuanyinqiaoKhroskyabs	below, under	ə³³qe⁵³	ə³³qe⁵³	³³/ə + q ⁵³/e		173 7905
4215	GuanyinqiaoKhroskyabs	below, under	ə³³cʰu⁵³	ə³³cʰu⁵³	³³/ə + cçʰ ⁵³/u		173 7907
4216	GuanyinqiaoKhroskyabs	below, under	ɕe⁵³tʰa⁵³	ɕe⁵³tʰa⁵³	ɕ ⁵³/e + tʰ ⁵³/a		7908 7909
4217	GuanyinqiaoKhroskyabs	below, under	ji³³tse⁵⁵tʰa	ji³³tse⁵⁵tʰa	j ³³/i ts ⁵⁵/e + tʰ a		188 7909
4218	GuanyinqiaoKhroskyabs	below, under	ɕe⁵⁵ji³³la³³	ɕe⁵⁵ji³³la³³	ɕ ⁵⁵/e + j ³³/i l ³³/a		7908 188
4559	NjorogsKhroskyabs	below, under	ɕa⁵⁵jis³³	ɕa⁵⁵jis³³	ɕ ⁵⁵/a + j ³³/i s		7908 188
4580	NjorogsKhroskyabs	below, under	ə³³cʰe⁵⁵	ə³³cʰe⁵⁵	³³/ə + cçʰ ⁵⁵/e		173 7907
4968	Tshobdun	below, under	pʰi	pʰi	pʰ i		179
5358	NgyaltsuZbu	below, under	və-véʔ	və-véʔ	v ə + v é/e ʔ		174 179
5475	Zlarong	below, under	ke53re31	ke53re31	k ⁵³/e r ³¹/e		185
5696	KyomkyoSitu	below, under	taka	taka	t a + k a		7910 0
5697	KyomkyoSitu	below, under	tapa	tapa	t a + p a		7910 179
5698	KyomkyoSitu	below, under	təspoʔk	təspoʔk	t ə + s p o ʔ k		7910 178
5971	MazurStau	below, under	və	və	v ə		179
96	Bantawa	big	ɨdʰiwaŋ	ɨdʰiwaŋ	ɨ dʰ i w a ŋ		211
273	Stau	big	gɛ cçhɛ	gɛ chɛ	g ɛ + cʰ ɛ		213 228
527	Japhug	big	wxti	wxti	w x t i		224
866	Tangut	big	khwej	khwej	kʰ w e j		216
1179	WobziKhroskyabs	big	qʰrɑ́	qʰrɑ́	qʰ r ɑ́/ɑ		216
1474	Zhaba	big	tɕi⁵⁵tɕi⁵⁵	tɕi⁵⁵tɕi⁵⁵	tɕ ⁵⁵/i tɕ ⁵⁵/i		8410
1731	MbarkhamsSitu	big	kə ktᴇ	kə ktᴇ	k ə + k t ɛ		7777 224
1977	KangdingMinyag	big	ki³³kɐ⁵³	ki³³kɐ⁵³	k ³³/i k ⁵³/ɐ		220
2272	PengbuxiMinyag	big	1kikʌ	1kikʌ	k i k ¹/ʌ		220
2535	OldBurmese	big	kriḥ	kriḥ	k r ī/i ɦ		7776
2775	XinlongQueyu	big	qo⁵⁵rʒi¹³	qo⁵⁵rʒi¹³	q ⁵⁵/o r ʒ ¹³/i		223
3177	PubarongQueyu	big	ndʑũ	ndʑũ	n dʑ ũ		222
3303	SiyuewuKhroskyabs	big	qʰrɑ́	qʰrɑ́	qʰ r ɑ́/ɑ		216
3304	SiyuewuKhroskyabs	big	cʰæ̂d	cʰæ̂d	cʰ æ̂/æ d		228
3616	BragbarSitu	big	ti	ti	t ī/i		224
3617	BragbarSitu	big	u-ktə̂	u-ktə̂	u + k t ə̂/ə		227 224
4126	Geshiza	big	tɕʰæ	tɕʰæ	tɕʰ æ		228
4219	GuanyinqiaoKhroskyabs	big	qʰra⁵⁵	qʰra⁵⁵	qʰ r ⁵⁵/a		216
4220	GuanyinqiaoKhroskyabs	big	cʰɛ⁵³	cʰɛ⁵³	cçʰ ⁵³/ɛ		228
4709	NjorogsKhroskyabs	big	qʰraʔ⁵⁵	qʰraʔ⁵⁵	qʰ r ⁵⁵/a ʔ		216
5104	Tshobdun	big	xtεʔ	xtεʔ	x t ɛ ʔ		224
5246	NgyaltsuZbu	big	kə-xtiʔ	kə-xtiʔ	k ə + x t í/i ʔ		7777 224
5668	Zlarong	big	tu31po55	tu31po55	t ³¹/u + p ⁵⁵/o		224 8043
5699	KyomkyoSitu	big	kəktu	kəktu	k ə + k t u		7777 224
5972	MazurStau	big	cʰɛ	cʰɛ	cʰ ɛ		228
6295	WobziKhroskyabs	big	cʰæ̂	cʰæ̂	cʰ æ̂/æ		228
160	Bantawa	black	makɨwa	makɨwa	m a k ɨ w a		240
274	Stau	black	ȵa ȵa	ȵa ȵa	ȵ a ȵ a		242
275	Stau	black	ga ȵa	ga ȵa	g a + ȵ a		7743 242
528	Japhug	black	ɲaʁ	ɲaʁ	ɲ a ʁ		242
867	Tangut	black	njaa¹	njaa¹	n j ¹/aː		242
1180	WobziKhroskyabs	black	ɲá	ɲá	ɲ á/a		242
1475	Zhaba	black	na⁵⁵na⁵⁵	na⁵⁵na⁵⁵	n ⁵⁵/a n ⁵⁵/a		246
1732	MbarkhamsSitu	black	kə nɐk	kə nɐk	k ə + n ɐ k		245 246
1978	KangdingMinyag	black	ȵi⁵⁵ȵi³³	ȵi⁵⁵ȵi³³	ȵ ⁵⁵/i ȵ ³³/i		242
2330	PengbuxiMinyag	black	1ɲiɲi	1ɲiɲi	ɲ i ɲ ¹/i		242
2536	OldBurmese	black	nak	nak	n a k		242
2776	XinlongQueyu	black	ȵe⁵⁵ȵe³³	ȵe⁵⁵ȵe³³	ȵ ⁵⁵/e ȵ ³³/e		242
3086	PubarongQueyu	black	ɲeɲe	ɲeɲe	ɲ ē/e ɲ ē/e		242
3305	SiyuewuKhroskyabs	black	ɲǽʁ	ɲǽʁ	ɲ ǽ/æ ʁ		242
3618	BragbarSitu	black	nâk	nâk	n â/a k		246
4031	Geshiza	black	ɲa	ɲa	ɲ a		242
4221	GuanyinqiaoKhroskyabs	black	ɲɑ⁵⁵	ɲɑ⁵⁵	ɲ ⁵⁵/ɑ		242
4689	NjorogsKhroskyabs	black	ɲaʔq⁵⁵	ɲaʔq⁵⁵	ɲ a ʔ ⁵⁵/q		242
4956	Tshobdun	black	ɲa	ɲa	ɲ a		242
5235	NgyaltsuZbu	black	kə-ɲɐ̂ʁ	kə-ɲɐ̂ʁ	k ə + ɲ ɐ̂/ɐ ʁ		245 242
5557	Zlarong	black	ȵi31ȵi53	ȵi31ȵi53	ȵ ³¹/i ȵ ⁵³/i		242
5700	KyomkyoSitu	black	kəneʔk	kəneʔk	k ə + n e ʔ k		245 246
5973	MazurStau	black	ɲæ	ɲæ	ɲ æ		242
109	Bantawa	cold (of temperature)	keŋma (keŋa)	keŋma (keŋa)	k e ŋ m a + k e ŋ a		267 268
276	Stau	cold (of temperature)	ʂkhu ʂkhu	ʂkhu ʂkhu	ʂ kʰ u ʂ kʰ u		273
529	Japhug	cold (of temperature)	mɯɕtaʁ	mɯɕtaʁ	m ɯ ɕ t a ʁ		7788
868	Tangut	cold (of temperature)	da²	da²	d ²/a		280
869	Tangut	cold (of temperature)	dʑjij	dʑjij	dʑ j i j		284
1181	WobziKhroskyabs	cold (of temperature)	rkʰô	rkʰô	r kʰ ô/o		273
1476	Zhaba	cold (of temperature)	vɪ⁵⁵vɪ⁵⁵	vɪ⁵⁵vɪ⁵⁵	v ⁵⁵/ɪ v ⁵⁵/ɪ		282
1477	Zhaba	cold (of temperature)	ʌ⁵⁵guɛ⁵⁵	ʌ⁵⁵guɛ⁵⁵	⁵⁵/ʌ g u ⁵⁵/ɛ		285
1733	MbarkhamsSitu	cold (of temperature)	kə mə ʃtɑk	kə mə ʃtɑk	k ə + m ə ʃ t ɑ k		275 7788
1979	KangdingMinyag	cold (of temperature)	ndza³³ndza⁵⁵	ndza³³ndza⁵⁵	n dz ³³/a n dz ⁵⁵/a		276
2469	PengbuxiMinyag	cold (of temperature)	2ndzændzæ	2ndzændzæ	n dz æ n dz ²/æ		276
2537	OldBurmese	cold (of temperature)	ʔeḥ	ʔeḥ	ʔ e ɦ		277
2777	XinlongQueyu	cold (of temperature)	qa⁵⁵tʃa¹³	qa⁵⁵tʃa¹³	q ⁵⁵/a + tʃ ¹³/a		8052 284
2778	XinlongQueyu	cold (of temperature)	tʃa¹³tʃa⁵⁵	tʃa¹³tʃa⁵⁵	tʃ ¹³/a tʃ ⁵⁵/a		284
3178	PubarongQueyu	cold (of temperature)	tʂo	tʂo	ʈʂ ō/o		278
3306	SiyuewuKhroskyabs	cold (of temperature)	rkʰô	rkʰô	r kʰ ô/o		273
3619	BragbarSitu	cold (of temperature)	mə-ɕtiâk	mə-ɕtiâk	m ə ɕ t i â/a k		7788
4075	Geshiza	cold (of temperature)	rkʰo	rkʰo	r kʰ o		273
4222	GuanyinqiaoKhroskyabs	cold (of temperature)	rkʰo⁵³	rkʰo⁵³	r kʰ ⁵³/o		273
4735	NjorogsKhroskyabs	cold (of temperature)	rkʰoʔ⁵⁵	rkʰoʔ⁵⁵	r kʰ ⁵⁵/o ʔ		273
5095	Tshobdun	cold (of temperature)	wɐⁿdʒiʔ	wɐⁿdʒiʔ	w ɐ + ⁿdʒ i ʔ		8050 284
5244	NgyaltsuZbu	cold (of temperature)	kə-vɐndʑɐ̂	kə-vɐndʑɐ̂	k ə + v ɐ + n dʑ ɐ̂/ɐ		275 8050 284
5541	Zlarong	cold (of temperature)	ndʑa31li53	ndʑa31li53	n dʑ ³¹/a + l ⁵³/i		284 8051
5701	KyomkyoSitu	cold (of temperature)	kəməʃtak	kəməʃtak	k ə + m ə ʃ t a k		275 7788
5974	MazurStau	cold (of temperature)	rkʰu	rkʰu	r kʰ u		273
277	Stau	correct (right)	ŋi ŋi	ŋi ŋi	ŋ i ŋ i		300
530	Japhug	correct (right)	ɣɤŋgi	ɣɤŋgi	ɣ ɤ ŋg i		8565
531	Japhug	correct (right)	ɯ-stu	ɯ-stu	ɯ + s t u		312 305
870	Tangut	correct (right)	tɕjɨj	tɕjɨj	tɕ j ɨ j		303
1182	WobziKhroskyabs	correct (right)	vɟe	vɟe	v ɟ ê/e		303
1478	Zhaba	correct (right)	tʌ³³ndʑa⁵⁵	tʌ³³ndʑa⁵⁵	t ³³/ʌ n dʑ ⁵⁵/a		310
1734	MbarkhamsSitu	correct (right)	wɐ stot	wɐ stot	w ɐ + s t o t		298 305
1980	KangdingMinyag	correct (right)	ɴa³³ (ti⁵⁵)	ɴa³³ (ti⁵⁵)	ɴ ³³/a + t ⁵⁵/i		300 307
2538	OldBurmese	correct (right)	mhan	mhan	m̥ a n		308
2779	XinlongQueyu	correct (right)	ʑe¹³	ʑe¹³	ʑ ¹³/e		303
3179	PubarongQueyu	correct (right)	ʑi	ʑi	ʑ i		303
3307	SiyuewuKhroskyabs	correct (right)	vɟe	vɟe	v ɟ ê/e		303
3620	BragbarSitu	correct (right)	va-su	va-su	v a + s ū/u		298 299
4132	Geshiza	correct (right)	tɔ	tɔ	t ɔ		305
4223	GuanyinqiaoKhroskyabs	correct (right)	vɟi⁵³	vɟi⁵³	v ɟ ⁵³/i		303
4827	NjorogsKhroskyabs	correct (right)	vɟe⁵⁵	vɟe⁵⁵	v ɟ ⁵⁵/e		303
5096	Tshobdun	correct (right)	wɐⁿgiʔ	wɐⁿgiʔ	w ɐ ⁿg i ʔ		8565
5349	NgyaltsuZbu	correct (right)	vɐⁿɟi	vɐⁿɟi	v ɐ ⁿɟ í/i		8565
5638	Zlarong	correct (right)	tho31a55sɨ31	tho31a55sɨ31	tʰ ³¹/o + ⁵⁵/a s ³¹/ɨ		305 8469
5702	KyomkyoSitu	correct (right)	kacha	kacha	k a + cʰ a		304 7854
5963	PengbuxiMinyag	correct (right)	ɴæ	ɴæ	ɴ ¹/æ		300
5975	MazurStau	correct (right)	ŋe	ŋe	ŋ e		300
159	Bantawa	dark	makcɨkpa	makcɨkpa	m a k c ɨ k p a		326
278	Stau	dark	gɛ ʁnɛ	gɛ ʁnɛ	g ɛ + ʁ + n ɛ		7742 8442 8441
532	Japhug	dark	qanɯ	qanɯ	q a + n ɯ		8442 8441
871	Tangut	dark	mur	mur	m u r		340
1183	WobziKhroskyabs	dark	ʁni	ʁni	ʁ + n î		8442 8441
1479	Zhaba	dark	na³³pu⁵⁵pu³³	na³³pu⁵⁵pu³³	n ³³/a + p ⁵⁵/u p ³³/u		341 338
1735	MbarkhamsSitu	dark	mɐ kə khsɐl	mɐ kə khsɐl	m ɐ + k ə + kʰ s ɐ l		331 332 333
2329	PengbuxiMinyag	dark	1ɲiɕuɕu	1ɲiɕuɕu	ɲ i + ɕ u ɕ ¹/u		8441 7740
2539	OldBurmese	dark	mho₂ṅ	mho₂ṅ	m̥ ²/o ŋ		340
2780	XinlongQueyu	dark	ma⁵⁵psue⁵⁵	ma⁵⁵psue⁵⁵	m ⁵⁵/a + p s u ⁵⁵/e		331 7741
